rel_path,action,size_local,size_dl,detail
.gitignore,REPLACE,376,861,Sizes differ (376 vs 861).
.python-version,IDENTICAL,5,5,Same size + content hash.
.streamlit/config.toml,IDENTICAL,73,73,Same size + content hash.
.vs/Sustainable Finance Project.slnx/FileContentIndex/0845752e-5356-4301-afab-cb213a1d0d49.vsidx,LOCAL_ONLY,13768978,,Exists only locally; will be left untouched.
.vs/Sustainable Finance Project.slnx/FileContentIndex/0e74e0a9-396b-4fa9-b52b-3ae83256b85f.vsidx,LOCAL_ONLY,5190227,,Exists only locally; will be left untouched.
.vs/Sustainable Finance Project.slnx/FileContentIndex/3f5a6e55-acb8-460d-93af-f47c661989e5.vsidx,LOCAL_ONLY,4798254,,Exists only locally; will be left untouched.
.vs/Sustainable Finance Project.slnx/FileContentIndex/48ff7bfb-b4c6-415c-a579-a527c17604cf.vsidx,LOCAL_ONLY,4439003,,Exists only locally; will be left untouched.
.vs/Sustainable Finance Project.slnx/FileContentIndex/524f0bb0-236f-4a06-a5d8-27657ef466a9.vsidx,LOCAL_ONLY,4708294,,Exists only locally; will be left untouched.
.vs/Sustainable Finance Project.slnx/FileContentIndex/57732a01-90ba-4c2e-97aa-b8de19b66436.vsidx,LOCAL_ONLY,4826102,,Exists only locally; will be left untouched.
.vs/Sustainable Finance Project.slnx/FileContentIndex/79c62b8b-890a-4708-9594-740e1f790467.vsidx,LOCAL_ONLY,5080032,,Exists only locally; will be left untouched.
.vs/Sustainable Finance Project.slnx/FileContentIndex/7b340674-aa11-4b55-888e-c67d32c35f61.vsidx,LOCAL_ONLY,4436611,,Exists only locally; will be left untouched.
.vs/Sustainable Finance Project.slnx/FileContentIndex/b2190bd4-fd17-4d29-a4d3-08f3f816ab72.vsidx,LOCAL_ONLY,4485684,,Exists only locally; will be left untouched.
.vs/Sustainable Finance Project.slnx/FileContentIndex/b2c4c0ca-df43-4ffd-af11-d0067f221b80.vsidx,LOCAL_ONLY,4823667,,Exists only locally; will be left untouched.
.vs/Sustainable Finance Project.slnx/FileContentIndex/cb1273d1-bbcd-427b-9c23-a0d7b21d1f39.vsidx,LOCAL_ONLY,4518828,,Exists only locally; will be left untouched.
.vs/Sustainable Finance Project.slnx/FileContentIndex/fc5ec4cd-0a6e-4bbd-ab8e-76eff31144d6.vsidx,LOCAL_ONLY,4614155,,Exists only locally; will be left untouched.
.vs/Sustainable Finance Project.slnx/v18/.wsuo,LOCAL_ONLY,17920,,Exists only locally; will be left untouched.
.vs/Sustainable Finance Project.slnx/v18/DocumentLayout.backup.json,LOCAL_ONLY,2693,,Exists only locally; will be left untouched.
.vs/Sustainable Finance Project.slnx/v18/DocumentLayout.json,LOCAL_ONLY,2657,,Exists only locally; will be left untouched.
.vs/Sustainable Finance Project/v18/workspaceFileList.bin,LOCAL_ONLY,7751,,Exists only locally; will be left untouched.
.vs/VSWorkspaceState.json,LOCAL_ONLY,78,,Exists only locally; will be left untouched.
