company_name,ticker,isin,sector,country,company_folder,price_data_available,price_source,price_start_date,price_end_date,price_download_date,benchmark_data_available,fundamental_data_available,fundamental_source,fundamental_period,fundamental_download_date,annual_report_available,investor_presentation_available,financial_data_confidence,missing_data_items,notes
Games Workshop Group PLC,G7W,GB0003718474,Consumer Discretionary,GB,data/rag/reports/G7W_Games_Workshop_Group_PLC,YES,yfinance (GAW.L),2020-01-01,2025-01-01,2026-05-12,YES,PARTIAL,yfinance .info,FY2024,2026-05-12,YES,UNKNOWN,MEDIUM,"EBIT margin, EBITDA, EV/EBITDA, interest coverage, FCF margin missing","Volatility 34.79%; Sharpe 1.123; drawdown -53.42%; ROE 67.89%; D/E 0.156; rev growth 10.9%"
ASM International NV,AVS,NL0000334118,Technology,NL,data/rag/reports/AVS_ASM_International_NV,YES,yfinance (ASM.AS),2020-01-01,2025-01-01,2026-05-12,YES,PARTIAL,yfinance .info,FY2024,2026-05-12,YES,UNKNOWN,MEDIUM,"EBIT margin, EBITDA, EV/EBITDA, interest coverage, FCF margin missing","Volatility 40.45% (at cap boundary); Sharpe 0.923; drawdown -53.88%; ROE 24.94%; D/E 0.017; rev growth 2.8%. NOTE: excluded at vol cap but overridden — verify."
Swissquote Group Holding SA,1SQ,CH0010675863,Financials,CH,data/rag/reports/1SQ_Swissquote_Group_Holding_SA,YES,yfinance (SQN.SW),2020-01-01,2025-01-01,2026-05-12,YES,PARTIAL,yfinance .info,FY2024,2026-05-12,YES,UNKNOWN,MEDIUM,"EBIT margin, EBITDA, EV/EBITDA, interest coverage, FCF margin missing","Volatility 36.44%; Sharpe 0.88; drawdown -53.38%; ROE 28.9%; D/E 0.325; rev growth 8.8%"
Argenx SE,1AE,NL0010832176,Health Care,NL,data/rag/reports/1AE_Argenx_SE,YES,yfinance (ARGX.BR),2020-01-01,2025-01-01,2026-05-12,YES,PARTIAL,yfinance .info,FY2024,2026-05-12,YES,UNKNOWN,LOW,"E score, S score, EBIT margin, EBITDA, EV/EBITDA, interest coverage, FCF margin missing. ROE missing.","Volatility 43.88%; Sharpe 1.064; drawdown -39.26%; D/E 0.006; rev growth 62.6%. No ROE available. High-growth biotech — standard margin metrics may not apply."
ASML Holding NV,ASME,NL0010273215,Technology,NL,data/rag/reports/ASME_ASML_Holding_NV,YES,yfinance (ASML.AS),2020-01-01,2025-01-01,2026-05-12,YES,PARTIAL,yfinance .info,FY2024,2026-05-12,YES,UNKNOWN,MEDIUM,"EBIT margin, EBITDA, EV/EBITDA, interest coverage, FCF margin missing","Volatility 30.7%; Sharpe ~1.0; ROE available; D/E moderate"
Gaztransport Et Technigaz SA,9TG,FR0011726835,Energy,FR,data/rag/reports/9TG_Gaztransport_Et_Technigaz_SA,YES,yfinance (GTT.PA),2020-01-01,2025-01-01,2026-05-12,YES,PARTIAL,yfinance .info,FY2024,2026-05-12,YES,UNKNOWN,MEDIUM,"EBIT margin, EBITDA, EV/EBITDA, interest coverage, FCF margin missing","Portfolio weight 5.15%; ESG composite 67.03"
SSAB AB,SKWA,SE0000171100,Materials,SE,data/rag/reports/SKWA_SSAB_AB,YES,yfinance (SSAB-B.ST),2020-01-01,2025-01-01,2026-05-12,YES,PARTIAL,yfinance .info,FY2024,2026-05-12,YES,UNKNOWN,MEDIUM,"EBIT margin, EBITDA, EV/EBITDA, interest coverage, FCF margin missing","Portfolio weight 5.12%; ESG composite 66.65; steel / HYBRIT — capex-heavy sector"
Ringkjoebing Landbobank A/S,CJ2,DK0060854669,Financials,DK,data/rag/reports/CJ2_Ringkjoebing_Landbobank_AS,YES,yfinance (RILBA.CO),2020-01-01,2025-01-01,2026-05-12,YES,PARTIAL,yfinance .info,FY2024,2026-05-12,YES,UNKNOWN,LOW,"EBIT/EBITDA not applicable for banks; use NIM, CET1, loan loss ratio instead. FCF not standard.","Danish bank — standard industrial metrics require adjustment. ESG content very sparse."
UnipolSai Assicurazioni SpA,SOAN,IT0004827447,Financials,IT,data/rag/reports/SOAN_UnipolSai_Assicurazioni_SpA,YES,yfinance (UNI.MI),2020-01-01,2025-01-01,2026-05-12,YES,PARTIAL,yfinance .info,FY2024,2026-05-12,YES,UNKNOWN,LOW,"EBIT/EBITDA not standard for insurers; use combined ratio, investment yield, SCR coverage instead.","Insurance — standard industrial metrics require adjustment."
SBM Offshore NV,IHCB,NL0000360618,Energy,NL,data/rag/reports/IHCB_SBM_Offshore_NV,YES,yfinance (SBMO.AS),2020-01-01,2025-01-01,2026-05-12,YES,PARTIAL,yfinance .info,FY2024,2026-05-12,YES,UNKNOWN,MEDIUM,"EBIT margin, EBITDA, EV/EBITDA, interest coverage, FCF margin missing","Portfolio weight 4.99%; ESG composite 64.86; offshore oil equipment — high D/E typical"
