CapRank,ESGRank,Company,Sector,ESG_z,ESG_pct,Truvalue,SA_Band,SA_Risk,ISS,Transition_Score,Trans_Conf,Trans_T1,Trans_T2,Trans_T3,TV_Watchlist,TV_Reason,Trans_Watchlist,Trans_Reason,Any_Watchlist,Watchlist_Reasons
1,1,Raiffeisen Bank International AG,Financials,0.7890705684910246,100.0,Average,Low,17.1,Medium,27.149999999999995,HIGH,14.3,66.66666666666666,0.0,False,,True,"Weak transition evidence (Tier 1 = 14, no measurable target)",True,"Transition: Weak transition evidence (Tier 1 = 14, no measurable target)"
2,2,Alfa Laval AB,Resource Transformation,0.648460087753851,99.57805907172995,Average,Medium,24.2,Good,71.66666666666667,HIGH,100.0,50.0,33.33333333333333,False,,False,,False,
3,3,Norsk Hydro ASA,Extractives & Minerals Processing,0.6298747031730955,99.15611814345992,Below Average,Low,13.5,Good,62.119166666666665,HIGH,50.905,100.0,33.33333333333333,True,Truvalue=Below Average,False,,True,Truvalue: Truvalue=Below Average
4,4,Addtech AB Class B,Resource Transformation,0.6171674217761322,98.73417721518987,Average,Medium,19.65,Medium,43.333333333333336,MEDIUM,0.0,100.0,66.66666666666666,False,,True,"Weak transition evidence (Tier 1 = 0, no measurable target)",True,"Transition: Weak transition evidence (Tier 1 = 0, no measurable target)"
5,5,Aegon Ltd.,Financials,0.5401256340064947,98.31223628691984,Average,Low,14.8,Medium,70.22083333333333,HIGH,73.775,66.66666666666666,66.66666666666666,False,,False,,False,
6,6,AIB Group plc,Financials,0.5257474586788465,97.8902953586498,Below Average,Low,13.17,Medium,78.06916666666666,HIGH,82.80499999999999,100.0,33.33333333333333,True,Truvalue=Below Average,False,,True,Truvalue: Truvalue=Below Average
7,7,Lloyds Banking Group plc,Financials,0.5215511535314873,97.46835443037976,Average,Low,12.4,Good,86.66666666666667,MEDIUM,100.0,100.0,33.33333333333333,False,,False,,False,
8,8,SBM Offshore NV,Extractives & Minerals Processing,0.5029388109485831,97.0464135021097,Average,Low,19.1,Medium,85.83333333333333,HIGH,100.0,75.0,66.66666666666666,False,,False,,False,
9,9,Zurich Insurance Group Ltd,Financials,0.4860496112490852,96.62447257383964,Average,Low,14.8,Good,75.57416666666667,HIGH,77.815,100.0,33.33333333333333,False,,False,,False,
10,10,NatWest Group Plc,Financials,0.484989152706588,96.20253164556962,Average,Low,13.0,Good,93.33333333333331,MEDIUM,100.0,100.0,66.66666666666666,False,,False,,False,
11,21,Schneider Electric SE,Resource Transformation,0.4184063760084872,91.56118143459916,Average,Negligible,7.1,Good,93.33333333333331,HIGH,100.0,100.0,66.66666666666666,False,,False,,False,
12,34,ABB Ltd.,Resource Transformation,0.333300151299424,86.07594936708861,Average,Low,17.8,Good,70.08333333333333,HIGH,83.5,50.0,66.66666666666666,False,,False,,False,
