rank,company,return_5y_pct,return_10y_pct,bb_ticker,yf_ticker,idBbCompany
1,argenx SE,,,ARGX BB,ARGX.BR,17085420
2,Games Workshop Group PLC,,,GAW LN,GAW.L,154898
3,ASM International N.V.,,,ASM NA,ASM.AS,102226
4,BE Semiconductor Industries N.V.,,,BESI NA,BESI.AS,180021
5,Swissquote Group Holding Ltd.,,,SQN SW,SQN.SW,1197447
6,ASML Holding NV,,,ASML NA,ASML.AS,163205
7,Zegona Communications Plc,,,ZEG LN,ZEG.L,44766439
8,VAT Group AG,,,VACN SW,VACN.SW,49328078
9,AIXTRON SE,,,AIXA GR,AIXA.DE,307335
10,Sectra AB Class B,,,SECT/B SS,SECT-B.ST,815168
11,STMicroelectronics NV,,,STMMI IM,STMMI.MI,153916
12,CD Projekt S.A.,,,CDR PW,CDR.WA,7636593
13,Addtech AB Class B,,,ADDT/B SS,ADDT-B.ST,7326223
14,Abivax SA,,,ABVX FP,ABVX.PA,45848440
15,Pan African Resources PLC,,,PAF LN,PAF.L,1416781
16,Antofagasta plc,,,ANTO LN,ANTO.L,111100
17,Mycronic AB,,,MYCR SS,MYCR.ST,330423
18,Diploma PLC,,,DPLM LN,DPLM.L,111477
19,Plus500 Ltd.,,,PLUS LN,PLUS.L,36305872
20,Lagercrantz Group AB Class B,,,LAGR/B SS,LAGR-B.ST,7326215
21,flatexDEGIRO,,,FTK GR,FTK.DE,16313527
22,Benefit Systems,,,BFT PW,BFT.WA,24908457
23,Gaztransport & Technigaz,,,GTT FP,GTT.PA,22247008
24,Prysmian,,,PRY IM,PRY.MI,11796370
25,Ferrari,,,RACE IM,RACE.MI,41906998
26,Logitech,,,LOGN SW,LOGN.SW,117746
27,BELIMO,,,BEAN SW,BEAN.SW,176984
28,Anglo American,,,AAL LN,AAL.L,833983
29,Lion Finance,,,BGEO LN,BGEO.L,60238741
30,Huber+Suhner,,,HUBN SW,HUBN.SW,118592
31,UNIPOL,,,UNI IM,UNI.MI,118130
32,Camurus,,,CAMX SS,CAMX.ST,14701634
33,NKT,,,NKT DC,NKT.CO,117816
34,D'Ieteren,,,DIE BB,DIE.BR,118920
35,VERBUND,,,VER AV,VER.VI,116851
36,Sparebanken Norge,,,SBNOR NO,SBNOR.OL,162191
37,Lotus Bakeries,,,LOTB BB,LOTB.BR,118862
38,Frontline,,,FRO NO,FRO.OL,111886
39,RWE,,,RWE GR,RWE.DE,115675
40,Aker BP,,,AKRBP NO,AKRBP.OL,11379990
41,Ringkjobing Landbobank A/S,,,RILBA DC,RILBA.CO,120259
42,Lifco AB Class B,,,LIFCO/B SS,LIFCO-B.ST,328241
43,KGHM Polska Miedz S.A.,,,KGH PW,KGH.WA,233435
44,Beijer Ref AB Class B,,,BEIJ/B SS,BEIJ-B.ST,125256
45,ABB Ltd.,,,ABBN SW,ABBN.SW,825197
46,3i Group plc,,,III LN,III.L,154228
47,UniCredit S.p.A.,,,UCG IM,UCG.MI,115657
48,Hochschild Mining plc,,,HOC LN,HOC.L,11131610
49,Siegfried Holding AG,,,SFZN SW,SFZN.SW,118673
50,DSV A/S,,,DSV DC,DSV.CO,120115
51,Schneider Electric SE,,,SU FP,SU.PA,115518
52,SPAREBANK 1 SOR-NORGE ASA,,,SB1NO NO,SB1NO.OL,162689
53,Swiss Life Holding AG,,,SLHN SW,SLHN.SW,116655
54,Avanza Bank Holding AB,,,AZA SS,AZA.ST,125171
"55,""ACS, Actividades de Construccion y Servicios SA"",,,ACS SM,ACS.MC,117825"
56,Holcim Ltd,,,HOLN SW,HOLN.SW,115725
57,Storebrand ASA,,,STB NO,STB.OL,115771
58,SSAB AB Class B,,,SSAB/B SS,SSAB-B.ST,118008
59,Hermes International SCA,,,RMS FP,RMS.PA,135688
60,Infineon Technologies AG,,,IFX GR,IFX.DE,835530
61,Commerzbank AG,,,CBK GR,CBK.DE,115684
62,CaixaBank SA,,,CABK SM,CABK.MC,13281086
