ticker,yf_ticker,company_name,sasb_sector,truvalue_rating,sa_risk,sa_band,iss_descriptor,tri_pass_votes,tri_fail_votes,triangulation_result,stage1_pass,fossil_flag,hard_excluded,watchlist,watchlist_reason,esg_rank,in_house_z,in_house_pct,E_score,S_score,G_score,ESG_score,carbon_intensity,ci_source,data_vintage,idBbGlobalCompanyName,sector,vol_annual,max_drawdown,sharpe_ratio,beta,beta_band_score,m01_score,m02_score,m03_score,m04_score,composite_financial_score,metric_nan_count,m01_vol_flag,m02_mdd_flag,m03_sharpe_flag,m04_beta_flag,g1_data_sufficiency,g2_margins,g3_cashflow,g4_leverage,g5_investability,gate_verdict,financial_verdict,exclusion_reason,annual_volatility_pct,max_drawdown_pct,beta_vs_benchmark,data_vintage_fin,rf_rate_assumption,benchmark_used,encore_score,aqueduct_score,biodiversity_score,nature_risk_tier,taxonomy_eligible_pct,taxonomy_aligned_pct,euTaxnmyEstmatdDnshMitgtnLevl1,euTaxnmyEstmatdDnshMitgtnLevl2,euTaxnmyEstmatdDnshAdapttnLevl1,euTaxnmyEstmatdDnshAdapttnLevl2,gw_exclude,gw_watchlist,fin_score,composite_score,rank,weight_raw,weight
IHJN,VZN.SW,VZ Holding AG,Financials,Average,26.57,Medium,Medium,2,1,PASS,True,False,False,False,,13.0,0.464450219370451,94.9367088607595,78.15,41.99,77.28,94.94,0.72,sector_median_imputed,2026-05-20,VZ Holding AG,Financials,0.2212,-0.3197,0.5855,0.8058,100.0,84.23236514522821,28.21576763485477,69.29460580912863,100.0,66.1,0.0,ok,ok,ok,target_band,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,22.12,-31.97,0.8058,2026-05-20,0.025,^STOXX,2.5,2.0,32.5,Low,,,66.67,,14.29,,False,False,66.1,77.64,1,0.03608360018032505,0.0361
UNC,UCB.BR,UCB S.A.,Health Care,Average,13.7,Low,Good,3,0,PASS,True,False,False,False,,36.0,0.3228087203448372,85.23206751054853,77.94,69.82,43.18,85.23,7.99,bloomberg_calc,2026-05-20,UCB SA,Health Care,0.2876,-0.4166,0.7085,0.6455,100.0,53.52697095435685,58.09128630705394,81.32780082987551,100.0,72.53,0.0,ok,ok,ok,target_band,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,28.76,-41.66,0.6455,2026-05-20,0.025,^STOXX,2.5,2.0,32.5,Low,,0.0,88.89,,42.86,,False,False,72.53,77.61,2,0.03606965752183188,0.0361
ZFIN,ZURN.SW,Zurich Insurance Group Ltd,Financials,Average,14.8,Low,Good,3,0,PASS,True,False,False,False,,9.0,0.4860496112490852,96.62447257383964,78.15,56.96,71.55,96.62,0.72,sector_median_imputed,2026-05-20,Zurich Insurance Group AG,Financials,0.1707,-0.1531,0.6632,0.7222,100.0,96.6804979253112,0.4149377593360981,76.34854771784232,100.0,62.37,0.0,ok,ok,ok,target_band,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,17.07,-15.31,0.7222,2026-05-20,0.025,^STOXX,2.5,2.0,32.5,Low,,,77.78,,57.14,,False,False,62.37,76.07,3,0.03535393438584913,0.0354
IHCB,SBMO.AS,SBM Offshore NV,Extractives & Minerals Processing,Average,19.1,Low,Medium,3,0,PASS,True,False,False,False,,8.0,0.5029388109485831,97.0464135021097,78.15,92.5,53.46,97.05,277.65500000000003,sector_median_imputed,2026-05-20,SBM Offshore NV,Energy,0.2615,-0.2196,0.7815,0.689,100.0,65.97510373443984,5.809128630705402,87.96680497925311,100.0,61.33,0.0,ok,ok,ok,target_band,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,26.15,-21.96,0.689,2026-05-20,0.025,^STOXX,2.5,2.0,32.5,Low,,,77.78,,100.0,,False,False,61.33,75.62,4,0.03514479450845157,0.0351
HBC1,HSBA.L,HSBC Holdings Plc,Financials,Average,13.49,Low,Medium,3,0,PASS,True,False,False,False,,17.0,0.4382650868009517,93.24894514767934,78.15,58.09,64.64,93.25,0.72,sector_median_imputed,2026-05-20,HSBC Holdings PLC,Financials,0.2501,-0.2431,0.7799,0.9666,100.0,70.12448132780082,9.128630705394189,87.55186721991701,100.0,63.03,0.0,ok,ok,ok,target_band,PASS,PASS,DATA-INCOMPLETE,DATA-INCOMPLETE,PASS,REVIEW_REQUIRED,REVIEW_REQUIRED,,25.01,-24.31,0.9666,2026-05-20,0.025,^STOXX,2.5,2.0,32.5,Low,,,77.78,,85.71,,False,False,63.03,75.12,5,0.034912416866898735,0.0349
AXA,CS.PA,AXA SA,Financials,Average,17.0,Low,Good,3,0,PASS,True,False,False,False,,22.0,0.4174992433347713,91.13924050632912,78.15,66.74,56.97,91.14,0.72,sector_median_imputed,2026-05-20,AXA SA,Financials,0.213,-0.2439,0.697,0.9932,100.0,86.30705394190872,9.543568464730283,79.25311203319502,100.0,63.9,0.0,ok,ok,ok,target_band,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,21.3,-24.39,0.9932,2026-05-20,0.025,^STOXX,2.5,2.0,32.5,Low,,,66.67,,100.0,,False,False,63.9,74.8,6,0.03476369517630491,0.0348
SR9,SREN.SW,Swiss Re AG,Financials,Average,13.6,Low,Good,3,0,PASS,True,False,False,False,,12.0,0.4753184826412814,95.35864978902954,78.15,51.74,73.14,95.36,0.72,sector_median_imputed,2026-05-20,Swiss Re AG,Financials,0.2197,-0.2674,0.5255,0.8502,100.0,84.64730290456431,15.767634854771783,60.58091286307054,100.0,59.83,0.0,ok,ok,ok,target_band,PASS,PASS,DATA-INCOMPLETE,PASS,PASS,REVIEW_REQUIRED,REVIEW_REQUIRED,,21.97,-26.74,0.8502,2026-05-20,0.025,^STOXX,2.5,2.0,32.5,Low,,,77.78,,100.0,,False,False,59.83,74.04,7,0.034410481161144604,0.0344
NOH1,NHY.OL,Norsk Hydro ASA,Extractives & Minerals Processing,Below Average,13.5,Low,Good,2,1,PASS,True,False,False,True,Truvalue=Below Average,3.0,0.6298747031730955,99.15611814345992,75.56,76.56,83.96,99.16,2149.74,sector_median_imputed,2026-05-20,Norsk Hydro ASA,Materials,0.3537,-0.3757,0.5303,0.9799,100.0,24.066390041493776,44.398340248962654,62.24066390041494,100.0,56.8,0.0,soft_flag,ok,ok,target_band,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,35.37,-37.57,0.9799,2026-05-20,0.025,^STOXX,2.5,2.0,32.5,Low,53.34,28.0,88.89,100.0,71.43,60.0,False,False,56.8,73.74,8,0.03427105457621289,0.0343
RYSD,NWG.L,NatWest Group Plc,Financials,Average,13.0,Low,Good,3,0,PASS,True,False,False,False,,10.0,0.484989152706588,96.20253164556962,78.15,54.96,72.56,96.2,0.72,sector_median_imputed,2026-05-20,NatWest Group PLC,Financials,0.2998,-0.4312,0.5549,1.234,50.0,46.47302904564315,61.82572614107884,65.14522821576763,50.0,57.39,0.0,ok,ok,ok,elevated,PASS,PASS,DATA-INCOMPLETE,DATA-INCOMPLETE,PASS,REVIEW_REQUIRED,REVIEW_REQUIRED,,29.98,-43.12,1.234,2026-05-20,0.025,^STOXX,2.5,2.0,32.5,Low,,,66.67,,100.0,,False,False,57.39,72.91,9,0.03388530769123518,0.0339
IES,ISP.MI,Intesa Sanpaolo S.p.A.,Financials,Average,8.2,Negligible,Good,3,0,PASS,True,False,False,False,,32.0,0.3355869977972824,86.91983122362869,78.15,60.21,49.96,86.92,0.72,sector_median_imputed,2026-05-20,Intesa Sanpaolo SpA,Financials,0.2743,-0.427,0.8497,1.346,25.0,60.58091286307054,61.410788381742734,92.11618257261412,25.0,63.17,0.0,ok,ok,ok,elevated_high,PASS,PASS,DATA-INCOMPLETE,DATA-INCOMPLETE,PASS,REVIEW_REQUIRED,REVIEW_REQUIRED,,27.43,-42.7,1.346,2026-05-20,0.025,^STOXX,2.5,2.0,32.5,Low,,,55.56,,42.86,,False,False,63.17,72.67,10,0.03377376642328982,0.0338
