ticker,sector,gate_verdict,financial_verdict,exclusion_reason,vol_annual,max_drawdown,sharpe_ratio,beta,data_vintage
SEB-A.ST,Financials,GATE_FAIL,EXCLUDED_GATE,G3:negative_cashflow,,,,,2026-05-20
RWE.DE,Utilities,GATE_FAIL,EXCLUDED_GATE,G2:negative_margins,,,,,2026-05-20
HOT.DE,Industrials,GATE_FAIL,EXCLUDED_GATE,G4:excess_leverage,,,,,2026-05-20
MC.PA,Consumer Discretionary,GATE_PASS,EXCLUDED_METRIC,M03:sharpe<0,0.2959,-0.4903,-0.2262,1.3486,2026-05-20
VER.VI,Utilities,GATE_PASS,EXCLUDED_METRIC,M03:sharpe<0,0.3217,-0.4233,-0.0601,0.5417,2026-05-20
OR.PA,Consumer Staples,GATE_PASS,EXCLUDED_METRIC,M03:sharpe<0,0.2439,-0.2992,-0.0463,1.0063,2026-05-20
SRT3.DE,Health Care,GATE_PASS,EXCLUDED_METRIC,M02:mdd<-70%; M03:sharpe<0,0.4528,-0.7068,-0.3191,1.357,2026-05-20
AIXA.DE,Technology,GATE_FAIL,EXCLUDED_GATE,G2:negative_margins,,,,,2026-05-20
SCYR.MC,Industrials,GATE_FAIL,EXCLUDED_GATE,G4:excess_leverage,,,,,2026-05-20
RTO.L,Industrials,GATE_PASS,EXCLUDED_METRIC,M03:sharpe<0,0.322,-0.5274,-0.0876,0.8484,2026-05-20
SHB-A.ST,Financials,GATE_FAIL,EXCLUDED_GATE,G3:negative_cashflow,,,,,2026-05-20
DANSKE.CO,Financials,GATE_FAIL,EXCLUDED_GATE,G3:negative_cashflow,,,,,2026-05-20
CNA.L,Utilities,GATE_FAIL,EXCLUDED_GATE,G2:negative_margins,,,,,2026-05-20
LOGN.SW,Technology,REVIEW_REQUIRED,EXCLUDED_METRIC,M03:sharpe<0,0.3436,-0.6425,-0.1405,1.1611,2026-05-20
EBS.VI,Financials,GATE_FAIL,EXCLUDED_GATE,G3:negative_cashflow,,,,,2026-05-20
CDI.PA,Consumer Discretionary,GATE_PASS,EXCLUDED_METRIC,M03:sharpe<0,0.293,-0.4927,-0.2613,1.3527,2026-05-20
KBC.BR,Financials,GATE_FAIL,EXCLUDED_GATE,G3:negative_cashflow,,,,,2026-05-20
SIKA.SW,Materials,GATE_PASS,EXCLUDED_METRIC,M03:sharpe<0,0.2821,-0.6525,-0.5329,1.3403,2026-05-20
ARCAD.AS,Industrials,GATE_PASS,EXCLUDED_METRIC,M03:sharpe<0,0.2885,-0.6002,-0.0396,1.0689,2026-05-20
JYSK.CO,Financials,GATE_FAIL,EXCLUDED_GATE,G3:negative_cashflow,,,,,2026-05-20
INVP.L,Financials,GATE_FAIL,EXCLUDED_GATE,G3:negative_cashflow,,,,,2026-05-20
LONN.SW,Health Care,GATE_FAIL,EXCLUDED_GATE,G2:negative_margins,,,,,2026-05-20
DSV.CO,Industrials,GATE_PASS,EXCLUDED_METRIC,M03:sharpe<0,0.3049,-0.4805,-0.0457,1.1667,2026-05-20
RS1.L,Industrials,GATE_PASS,EXCLUDED_METRIC,M03:sharpe<0,0.3012,-0.6115,-0.3526,1.2754,2026-05-20
IP.MI,Industrials,GATE_PASS,EXCLUDED_METRIC,M03:sharpe<0,0.3383,-0.6088,-0.2163,1.5423,2026-05-20
SAGA-B.ST,Real Estate,GATE_PASS,EXCLUDED_METRIC,M03:sharpe<0,0.3554,-0.559,-0.2081,1.3487,2026-05-20
KRX.IR,Materials,GATE_PASS,EXCLUDED_METRIC,M03:sharpe<0,0.3604,-0.5789,-0.081,1.3995,2026-05-20
KESKOB.HE,Consumer Staples,GATE_PASS,EXCLUDED_METRIC,M03:sharpe<0,0.2411,-0.5522,-0.1437,0.6643,2026-05-20
STMN.SW,Health Care,GATE_PASS,EXCLUDED_METRIC,M03:sharpe<0,0.352,-0.6247,-0.3004,1.4623,2026-05-20
AV.L,Financials,GATE_FAIL,EXCLUDED_GATE,G3:negative_cashflow,,,,,2026-05-20
SWED-A.ST,Financials,GATE_FAIL,EXCLUDED_GATE,G3:negative_cashflow,,,,,2026-05-20
REY.MI,Technology,REVIEW_REQUIRED,EXCLUDED_METRIC,M03:sharpe<0,0.3361,-0.5709,-0.133,1.2734,2026-05-20
HOLM-B.ST,Materials,GATE_PASS,EXCLUDED_METRIC,M03:sharpe<0,0.2296,-0.3963,-0.1903,0.713,2026-05-20
DIE.BR,Consumer Discretionary,GATE_FAIL,EXCLUDED_GATE,G4:excess_leverage,,,,,2026-05-20
STB.OL,Financials,GATE_FAIL,EXCLUDED_GATE,G2:negative_margins,,,,,2026-05-20
INDT.ST,Industrials,GATE_PASS,EXCLUDED_METRIC,M03:sharpe<0,0.3216,-0.4145,-0.0811,1.3783,2026-05-20
HOC.L,Materials,GATE_PASS,EXCLUDED_METRIC,M01:vol>55%; M02:mdd<-70%,0.5601,-0.7125,0.3976,0.8877,2026-05-20
NESTE.HE,Energy,GATE_PASS,EXCLUDED_METRIC,M02:mdd<-70%; M03:sharpe<0,0.4078,-0.8566,-0.2624,0.8028,2026-05-20
ENGI.PA,Utilities,GATE_FAIL,EXCLUDED_GATE,G3:negative_cashflow,,,,,2026-05-20
PGHN.SW,Financials,GATE_PASS,EXCLUDED_METRIC,M03:sharpe<0,0.3072,-0.5318,-0.2286,1.496,2026-05-20
ALSYDB.CO,Financials,GATE_FAIL,EXCLUDED_GATE,G1:insufficient_history(112 rows); G3:negative_cashflow,,,,,2026-05-20
ICG.L,Financials,GATE_PASS,EXCLUDED_METRIC,M03:sharpe<0,0.3516,-0.5991,-0.146,1.7448,2026-05-20
TUB.BR,Health Care,GATE_FAIL,EXCLUDED_GATE,G2:negative_margins; G3:negative_cashflow,,,,,2026-05-20
DIM.PA,Health Care,GATE_PASS,EXCLUDED_METRIC,M02:mdd<-70%; M03:sharpe<0,0.4414,-0.732,-0.4023,1.3164,2026-05-20
FTK.DE,Financials,REVIEW_REQUIRED,EXCLUDED_METRIC,M02:mdd<-70%,0.5003,-0.8056,0.0505,1.4918,2026-05-20
BCVN.SW,Financials,GATE_FAIL,EXCLUDED_GATE,G3:negative_cashflow,,,,,2026-05-20
KBCA.BR,Financials,GATE_FAIL,EXCLUDED_GATE,G2:negative_margins,,,,,2026-05-20
ZEAL.CO,Health Care,GATE_FAIL,EXCLUDED_GATE,G2:negative_margins,,,,,2026-05-20
NOD.OL,Technology,GATE_PASS,EXCLUDED_METRIC,M02:mdd<-70%; M03:sharpe<0,0.5319,-0.7545,-0.0737,1.4664,2026-05-20
PKO.WA,Financials,GATE_FAIL,EXCLUDED_GATE,G3:negative_cashflow,,,,,2026-05-20
MBK.WA,Financials,GATE_FAIL,EXCLUDED_GATE,G3:negative_cashflow,,,,,2026-05-20
PEO.WA,Financials,GATE_FAIL,EXCLUDED_GATE,G3:negative_cashflow,,,,,2026-05-20
MONC.MI,Consumer Discretionary,GATE_PASS,EXCLUDED_METRIC,M03:sharpe<0,0.3225,-0.458,-0.0483,1.416,2026-05-20
VALMT.HE,Industrials,GATE_PASS,EXCLUDED_METRIC,M03:sharpe<0,0.3075,-0.4554,-0.2114,1.1387,2026-05-20
SFZN.SW,Health Care,GATE_PASS,EXCLUDED_METRIC,M03:sharpe<0,0.2975,-0.4137,-0.0853,0.914,2026-05-20
IMCD.AS,Materials,GATE_PASS,EXCLUDED_METRIC,M03:sharpe<0,0.3,-0.6413,-0.2524,1.051,2026-05-20
NN.AS,Financials,GATE_FAIL,EXCLUDED_GATE,G3:negative_cashflow,,,,,2026-05-20
CLNX.MC,Industrials,REVIEW_REQUIRED,EXCLUDED_METRIC,M03:sharpe<0,0.2799,-0.5897,-0.428,0.7796,2026-05-20
ZEG.L,Financials,GATE_FAIL,EXCLUDED_GATE,G2:negative_margins,,,,,2026-05-20
PST.MI,Industrials,GATE_FAIL,EXCLUDED_GATE,G4:excess_leverage,,,,,2026-05-20
ASRNL.AS,Financials,GATE_FAIL,EXCLUDED_GATE,G3:negative_cashflow,,,,,2026-05-20
ABVX.PA,Health Care,GATE_FAIL,EXCLUDED_GATE,G2:negative_margins; G3:negative_cashflow,,,,,2026-05-20
BIRG.IR,Financials,GATE_FAIL,EXCLUDED_GATE,G3:negative_cashflow,,,,,2026-05-20
BGEO.L,Financials,GATE_FAIL,EXCLUDED_GATE,G2:negative_margins,,,,,2026-05-20
ING.WA,Financials,GATE_FAIL,EXCLUDED_GATE,G3:negative_cashflow,,,,,2026-05-20
SWEC-B.ST,Industrials,GATE_PASS,EXCLUDED_METRIC,M03:sharpe<0,0.3379,-0.5039,-0.098,1.2065,2026-05-20
NDA-FI.HE,Financials,GATE_FAIL,EXCLUDED_GATE,G3:negative_cashflow,,,,,2026-05-20
BEIJ-B.ST,Industrials,GATE_PASS,EXCLUDED_METRIC,M03:sharpe<0,0.3706,-0.4556,-0.0195,1.4443,2026-05-20
