ticker,yf_ticker,company_name,sasb_sector,truvalue_rating,sa_risk,sa_band,iss_descriptor,tri_pass_votes,tri_fail_votes,triangulation_result,stage1_pass,fossil_flag,hard_excluded,watchlist,watchlist_reason,esg_rank,in_house_z,in_house_pct,E_score,S_score,G_score,ESG_score,carbon_intensity,ci_source,data_vintage,idBbGlobalCompanyName,sector,vol_annual,max_drawdown,sharpe_ratio,beta,beta_band_score,m01_score,m02_score,m03_score,m04_score,composite_financial_score,metric_nan_count,m01_vol_flag,m02_mdd_flag,m03_sharpe_flag,m04_beta_flag,g1_data_sufficiency,g2_margins,g3_cashflow,g4_leverage,g5_investability,gate_verdict,financial_verdict,exclusion_reason,annual_volatility_pct,max_drawdown_pct,beta_vs_benchmark,data_vintage_fin,rf_rate_assumption,benchmark_used,encore_score,aqueduct_score,biodiversity_score,nature_risk_tier,taxonomy_eligible_pct,taxonomy_aligned_pct,euTaxnmyEstmatdDnshMitgtnLevl1,euTaxnmyEstmatdDnshMitgtnLevl2,euTaxnmyEstmatdDnshAdapttnLevl1,euTaxnmyEstmatdDnshAdapttnLevl2,gw_exclude,gw_watchlist
EAM,A2A.MI,A2A S.p.A.,Infrastructure,Average,28.5,Medium,Good,2,1,PASS,True,False,False,False,,164.0,-0.4743415898723553,27.84810126582278,48.01,4.35,30.79,27.85,629.82,bloomberg_calc,2026-05-20,A2A SpA,Utilities,0.2442,-0.4831,0.3568,0.8646,100.0,73.02904564315352,73.85892116182572,36.09958506224066,100.0,67.59,0.0,ok,soft_flag,ok,target_band,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,24.42,-48.31,0.8646,2026-05-20,0.025,^STOXX,3.5,4.0,67.5,High,11.57,,55.56,,42.86,40.0,False,False
2X1,ABVX.PA,Abivax SA,Health Care,Average,35.37,High,Medium,2,1,PASS,True,False,True,,,,,,0.0,0.0,0.0,0.0,7.99,sector_median_imputed,2026-05-20,Abivax SA,Health Care,,,,,,,,,,,,,,,,PASS,FAIL,FAIL,PASS,PASS,GATE_FAIL,EXCLUDED_GATE,G2:negative_margins; G3:negative_cashflow,,,,2026-05-20,0.025,^STOXX,2.5,2.0,32.5,Low,,,,,,,False,False
ASME,ASML.AS,ASML Holding NV,Technology & Communications,Below Average,8.7,Negligible,Good,2,1,PASS,True,False,False,True,Truvalue=Below Average,89.0,0.0921886994100468,62.86919831223629,65.11,34.43,56.63,62.87,16.72,sector_median_imputed,2026-05-20,ASML Holding NV,Technology,0.3835,-0.4793,0.4204,1.7248,0.0,13.485477178423238,72.61410788381743,46.47302904564315,0.0,38.42,0.0,soft_flag,soft_flag,ok,aggressive,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,38.35,-47.93,1.7248,2026-05-20,0.025,^STOXX,1.5,2.0,17.5,Low,0.0,0.0,55.56,,71.43,,False,False
A5G,A5G.IR,AIB Group plc,Financials,Below Average,13.17,Low,Medium,2,1,PASS,True,False,False,True,Truvalue=Below Average,6.0,0.5257474586788465,97.8902953586498,78.15,62.62,73.53,97.89,0.72,sector_median_imputed,2026-05-20,AIB Group PLC,Financials,0.3373,-0.3372,0.8541,1.1824,50.0,32.365145228215766,33.40248962655602,92.9460580912863,50.0,54.38,0.0,ok,ok,ok,elevated,PASS,PASS,PASS,DATA-INCOMPLETE,PASS,REVIEW_REQUIRED,REVIEW_REQUIRED,,33.73,-33.72,1.1824,2026-05-20,0.025,^STOXX,2.5,2.0,32.5,Low,,,77.78,,85.71,,False,False
AIXA,AIXA.DE,AIXTRON SE,Technology & Communications,Below Average,17.7,Low,Medium,2,1,PASS,True,False,False,True,Truvalue=Below Average,97.0,0.0276277208806612,59.49367088607595,60.23,49.9,48.25,59.49,16.72,sector_median_imputed,2026-05-20,AIXTRON SE,Technology,,,,,,,,,,,,,,,,PASS,FAIL,PASS,PASS,PASS,GATE_FAIL,EXCLUDED_GATE,G2:negative_margins,,,,2026-05-20,0.025,^STOXX,1.5,2.0,17.5,Low,0.0,57.0,66.67,,14.29,,False,False
9AA,AAF.L,Airtel Africa Plc,Technology & Communications,Average,21.35,Medium,Medium,2,1,PASS,True,False,False,False,,189.0,-0.7067784642475479,16.87763713080169,24.39,36.62,25.09,16.88,16.72,sector_median_imputed,2026-05-20,Airtel Africa PLC,Communications,0.3554,-0.4689,0.7392,0.8811,100.0,22.614107883817425,70.95435684647302,83.81742738589212,100.0,70.95,0.0,soft_flag,soft_flag,ok,target_band,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,35.54,-46.89,0.8811,2026-05-20,0.025,^STOXX,2.5,2.0,32.5,Low,0.0,,33.33,,42.86,40.0,False,False
SGM,STMMI.MI,STMicroelectronics NV,Technology & Communications,Average,15.2,Low,Good,3,0,PASS,True,False,False,False,,118.0,-0.1303963863692323,49.78902953586498,38.81,61.29,60.22,49.79,16.72,sector_median_imputed,2026-05-20,STMicroelectronics NV,Technology,0.3942,-0.6636,0.2718,1.541,0.0,10.78838174273858,96.2655601659751,25.311203319502077,0.0,38.63,0.0,soft_flag,soft_flag,ok,aggressive,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,39.42,-66.36,1.541,2026-05-20,0.025,^STOXX,1.5,2.0,17.5,Low,0.0,,55.56,,57.14,60.0,False,False
7CD,CDR.WA,CD Projekt S.A.,Technology & Communications,Below Average,14.8,Low,Medium,2,1,PASS,True,False,False,True,Truvalue=Below Average,173.0,-0.5317900588251958,23.62869198312236,28.81,52.07,31.13,23.63,16.72,sector_median_imputed,2026-05-20,CD Projekt SA,Communications,0.4145,-0.6232,0.154,0.8973,100.0,6.639004149377598,93.3609958506224,17.012448132780083,100.0,54.44,0.0,soft_flag,soft_flag,soft_flag,target_band,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,41.45,-62.32,0.8973,2026-05-20,0.025,^STOXX,2.5,2.0,32.5,Low,,0.0,44.44,,28.57,,False,False
FG1,ANTO.L,Antofagasta plc,Extractives & Minerals Processing,Below Average,24.25,Medium,Medium,1,2,FAIL,False,False,False,,,,,,0.0,0.0,0.0,0.0,2149.74,sector_median_imputed,2026-05-20,Antofagasta PLC,Materials,0.3973,-0.4431,0.3903,1.4749,0.0,9.958506224066385,64.31535269709543,39.83402489626556,0.0,33.24,0.0,soft_flag,ok,ok,aggressive,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,39.73,-44.31,1.4749,2026-05-20,0.025,^STOXX,2.5,2.0,32.5,Low,0.0,,55.56,,57.14,60.0,False,False
ARRD,MT.AS,ArcelorMittal SA,Extractives & Minerals Processing,Average,28.54,Medium,Medium,2,1,PASS,True,False,False,False,,165.0,-0.4820910849952883,27.42616033755274,26.44,80.72,25.63,27.43,2149.74,sector_median_imputed,2026-05-20,ArcelorMittal SA,Materials,0.3708,-0.3946,0.3736,1.6502,0.0,16.59751037344398,51.03734439834025,37.344398340248965,0.0,29.83,0.0,soft_flag,ok,ok,aggressive,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,37.08,-39.46,1.6502,2026-05-20,0.025,^STOXX,2.5,2.0,32.5,Low,0.0,,77.78,0.0,42.86,40.0,False,False
1AE,ARGX.BR,argenx SE,Health Care,Average,24.86,Medium,Medium,2,1,PASS,True,False,False,False,,191.0,-0.738888051380649,16.0337552742616,6.47,36.62,53.67,16.03,7.99,sector_median_imputed,2026-05-20,Argenx SE,Health Care,0.3839,-0.3926,0.5136,0.5487,75.0,12.448132780082986,50.62240663900415,58.50622406639005,75.0,50.23,0.0,soft_flag,ok,ok,defensive,PASS,PASS,DATA-INCOMPLETE,PASS,PASS,REVIEW_REQUIRED,REVIEW_REQUIRED,,38.39,-39.26,0.5487,2026-05-20,0.025,^STOXX,2.5,2.0,32.5,Low,,0.0,11.11,,14.29,,False,False
DP9,DPLM.L,Diploma PLC,Consumer Goods,Average,15.1,Low,Medium,3,0,PASS,True,False,False,False,,154.0,-0.3505659168042818,32.48945147679325,27.98,36.24,65.48,32.49,19.57,sector_median_imputed,2026-05-20,Diploma PLC,Industrials,0.2941,-0.3762,0.4878,1.1533,50.0,48.96265560165976,45.0207468879668,56.01659751037344,50.0,50.1,0.0,ok,ok,ok,elevated,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,29.41,-37.62,1.1533,2026-05-20,0.025,^STOXX,2.5,2.5,37.5,Medium,0.0,,55.56,,42.86,,False,False
SFB1,ACP.WA,Asseco Poland S.A.,Technology & Communications,Below Average,21.29,Medium,,0,2,FAIL,False,False,False,,,,,,0.0,0.0,0.0,0.0,16.72,sector_median_imputed,2026-05-20,Asseco Poland SA,Technology,0.3194,-0.3447,0.714,0.7468,100.0,40.24896265560166,36.92946058091287,82.15767634854771,100.0,63.78,0.0,ok,ok,ok,target_band,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,31.94,-34.47,0.7468,2026-05-20,0.025,^STOXX,1.5,2.0,17.5,Low,11.04,,22.22,,28.57,40.0,False,False
ASG,G.MI,Assicurazioni Generali S.p.A.,Financials,Average,14.21,Low,Good,3,0,PASS,True,False,False,False,,87.0,0.1116021379678658,63.71308016877637,78.15,57.53,22.11,63.71,0.72,sector_median_imputed,2026-05-20,Assicurazioni Generali SpA,Financials,0.1934,-0.3077,1.0066,0.8575,100.0,93.3609958506224,24.89626556016597,97.5103734439834,100.0,75.39,0.0,ok,ok,ok,target_band,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,19.34,-30.77,0.8575,2026-05-20,0.025,^STOXX,2.5,2.0,32.5,Low,,,55.56,,100.0,,False,False
