bloomberg_ticker,company_name,final_rag_verdict,greenwashing_risk_score,worst_dimension,watchlist_trigger,exclusion_trigger,evidence_confidence,verification_status,key_evidence_quote,source_document
G7W,Games Workshop Group PLC,PENDING,,,,,,,,
AVS,ASM International NV,PENDING,,,,,,,,
1SQ,Swissquote Group Holding SA,PENDING,,,,,,,,
1AE,Argenx SE,PENDING,,,,,,,,
ASME,ASML Holding NV,PENDING,,,,,,,,
9TG,Gaztransport Et Technigaz SA,PENDING,,,,,,,,
SKWA,SSAB AB,PENDING,,,,,,,,
CJ2,Ringkjoebing Landbobank A/S,PENDING,,,,,,,,
SOAN,UnipolSai Assicurazioni SpA,PENDING,,,,,,,,
IHCB,SBM Offshore NV,PENDING,,,,,,,,
DP9,Diploma PLC,PENDING,,,,,,,,
SGM,STMicroelectronics NV,PENDING,,,,,,,,
MLT,Mycronic AB,PENDING,,,,,,,,
19V,VAT Group AG,PENDING,,,,,,,,
BSI,BE Semiconductor Industries NV,PENDING,,,,,,,,
2FE,Ferrari NV,PENDING,,,,,,,,
NOH1,Norsk Hydro ASA,PENDING,,,,,,,,
IGQ5,3i Group PLC,PENDING,,,,,,,,
IFX,Infineon Technologies AG,PENDING,,,,,,,,
2NN,NN Group NV,PENDING,,,,,,,,
