variable,dtype,source,pct_missing,confidence,data_type
rc,int64,yfinance / calculated,0.0,High,reported
idBbGlobal,str,yfinance / calculated,0.0,High,reported
idBbUnique,str,yfinance / calculated,0.0,High,reported
idBbCompany,int64,yfinance / calculated,0.0,High,reported
idBbGlobalCompany,str,yfinance / calculated,0.0,High,reported
idBbGlobalCompanyName,str,equityBicsV2,0.0,High,reported
idBbSecNumDes,str,yfinance / calculated,0.0,High,reported
ticker,str,equityBicsV2,0.0,High,reported
exchCode,str,yfinance / calculated,0.0,High,reported
idIsin,str,equityBicsV2,0.0,High,reported
idCusip,float64,yfinance / calculated,99.6,Low,reported
idSedol1,str,yfinance / calculated,0.0,High,reported
securityTyp,str,yfinance / calculated,0.0,High,reported
securityTyp2,str,yfinance / calculated,0.0,High,reported
classificationLevelCode1,int64,yfinance / calculated,0.0,High,reported
classificationLevelName1,str,equityBicsV2,0.0,High,reported
classificationLevelCode2,int64,yfinance / calculated,0.0,High,reported
classificationLevelName2,str,equityBicsV2,0.0,High,reported
classificationLevelCode3,int64,yfinance / calculated,0.0,High,reported
classificationLevelName3,str,equityBicsV2,0.0,High,reported
classificationLevelCode4,int64,yfinance / calculated,0.0,High,reported
classificationLevelName4,str,equityBicsV2,0.0,High,reported
classificationLevelCode5,float64,yfinance / calculated,49.5,Low,reported
classificationLevelName5,str,equityBicsV2,49.5,Low,reported
classificationLevelCode6,float64,yfinance / calculated,87.1,Low,reported
classificationLevelName6,str,equityBicsV2,87.1,Low,reported
classificationLevelCode7,float64,yfinance / calculated,98.2,Low,reported
classificationLevelName7,str,equityBicsV2,98.2,Low,reported
classificationScheme,str,yfinance / calculated,0.0,High,reported
rank,int64,yfinance / calculated,0.0,High,reported
company,str,yfinance / calculated,0.0,High,reported
return_5y_pct,float64,yfinance / calculated,100.0,Low,reported
return_10y_pct,float64,yfinance / calculated,100.0,Low,reported
bb_ticker,str,equityBicsV2,0.0,High,reported
yf_ticker,str,equityBicsV2,0.0,High,reported
excluded,bool,yfinance / calculated,0.0,High,reported
latestPeriodEndCsr,str,yfinance / calculated,1.4,Medium,reported
esgDisclosureScore,float64,esgEnvironmentalSocial,5.0,Medium,reported
socialDisclosureScore,float64,esgEnvironmentalSocial,5.0,Medium,reported
environDisclosureScore,float64,yfinance / calculated,5.0,Medium,reported
directCo2Emissions,float64,esgEnvironmentalSocial,80.6,Low,reported
indirectCo2Emissions,float64,esgEnvironmentalSocial,92.1,Low,reported
totalCo2Emissions,float64,esgEnvironmentalSocial,89.2,Low,reported
totalGhgEmissions,float64,esgEnvironmentalSocial,19.0,Medium,reported
scp3BusinessTravelEmissions,float64,esgEnvironmentalSocial,46.2,Low,reported
gasFlaring,float64,yfinance / calculated,96.1,Low,reported
emissionReduction,object,esgEnvironmentalSocial,3.9,Medium,reported
climateChgProds,object,yfinance / calculated,4.3,Medium,reported
climateChgPolicy,object,yfinance / calculated,3.9,Medium,reported
percentOfDisclosure,float64,yfinance / calculated,86.7,Low,reported
scopeOfDisclosure,float64,esgEnvironmentalSocial,64.9,Low,reported
scope1_emissions_tco2e,float64,esgEnvironmentalSocial,15.8,Medium,reported
ghgScope2,float64,esgEnvironmentalSocial,20.4,Low,reported
ghgScope3,float64,esgEnvironmentalSocial,23.7,Low,reported
climateChgOpportunities,object,yfinance / calculated,4.3,Medium,reported
climateRisks,object,yfinance / calculated,3.9,Medium,reported
methaneEmissions,float64,esgEnvironmentalSocial,87.1,Low,reported
dirPfcEmissionsInCo2Equiv,float64,esgEnvironmentalSocial,98.2,Low,reported
carbonPerUnitOfProd,float64,esgEnvironmentalSocial,89.2,Low,reported
carbon_intensity_tco2e_per_eur_m_revenue,float64,esgEnvironmentalSocial,89.2,Low,reported
totalGhgCo2Emissions,float64,esgEnvironmentalSocial,12.5,Medium,reported
scopeGhgCo2Emissions1,float64,esgEnvironmentalSocial,10.0,Medium,reported
scopeGhgCo2Emissions2,float64,esgEnvironmentalSocial,14.7,Medium,reported
totGhgCo2EmIntensPerSales,float64,esgEnvironmentalSocial,12.5,Medium,reported
scopeGhgCo2EmIntensPerSles1,float64,esgEnvironmentalSocial,10.0,Medium,reported
scopeGhgCo2EmIntensPerSles2,float64,esgEnvironmentalSocial,14.7,Medium,reported
