ticker,bics_sector,E_score,S_score,G_score,ESG_score,esg_data_flag,sasb_e_weight,sasb_s_weight,sasb_g_weight,bloomberg_esg_disclosure,sustainalytics_risk_score,tri_sources_available,tri_passes,triangulation_result,carbon_intensity,ci_source,data_vintage
SEBA,Financials,52.39,48.12,46.69677843358175,48.33,OK,0.2,0.35,0.45,59.42,,2,1,WATCHLIST,0.5349999999999999,sector_median_imputed,2026-05-14
ALV,Financials,61.95,65.88,68.71721408640765,66.37,OK,0.2,0.35,0.45,59.3,,2,2,PASS,0.5349999999999999,sector_median_imputed,2026-05-14
E7V,Industrials,51.8,38.42,89.41991635479094,54.64,OK,0.45,0.35,0.2,59.55,,2,2,PASS,4.87,sector_median_imputed,2026-05-14
IES,Financials,52.1,69.65,54.195658881905146,59.19,OK,0.2,0.35,0.45,73.75,,2,2,PASS,0.5349999999999999,sector_median_imputed,2026-05-14
RWE,Utilities,35.85,47.53,69.6802698375964,47.23,OK,0.5,0.25,0.25,64.13,,2,1,WATCHLIST,629.82,sector_median_imputed,2026-05-14
NDA,Materials,,,71.99505743706337,64.81,OK,0.5,0.3,0.2,63.98,,2,2,PASS,4285.61,sector_median_imputed,2026-05-14
CBK,Financials,99.99,30.73,50.88844183019592,53.65,OK,0.2,0.35,0.45,53.17,,2,2,PASS,0.5349999999999999,sector_median_imputed,2026-05-14
GBF,Industrials,99.97,2.36,33.394653876590255,52.49,OK,0.45,0.35,0.2,40.84,,2,1,WATCHLIST,4.87,sector_median_imputed,2026-05-14
HEI,Materials,59.39,27.56,68.81426667956602,51.73,OK,0.5,0.3,0.2,58.44,,2,2,PASS,3982.39,bloomberg_calc,2026-05-14
HOT,Industrials,77.36,10.6,46.967975700755765,47.92,OK,0.45,0.35,0.2,59.23,,2,1,WATCHLIST,0.0,bloomberg_calc,2026-05-14
SIE,Industrials,73.02,50.75,66.89811731368074,64.0,OK,0.45,0.35,0.2,70.15,,2,2,PASS,4.87,sector_median_imputed,2026-05-14
MUV2,Financials,51.91,47.26,71.86128970515693,59.26,OK,0.2,0.35,0.45,57.46,,2,2,PASS,1.36,bloomberg_calc,2026-05-14
CRIN,Financials,65.5,69.9,86.04421744442217,76.28,OK,0.2,0.35,0.45,61.61,,2,2,PASS,0.5349999999999999,sector_median_imputed,2026-05-14
OMV,Energy,82.2,42.38,60.65440049164139,67.94,OK,0.55,0.25,0.2,64.2,,2,2,PASS,93.825,sector_median_imputed,2026-05-14
IBE1,Utilities,50.5,63.27,82.24426144827828,61.63,OK,0.5,0.25,0.25,79.43,,2,2,PASS,629.82,sector_median_imputed,2026-05-14
REP,Energy,78.07,51.76,80.75829350992034,72.03,OK,0.55,0.25,0.2,67.81,,2,2,PASS,93.825,sector_median_imputed,2026-05-14
AIXA,Technology,100.0,42.13,60.46215688567166,63.93,OK,0.25,0.35,0.4,50.94,,2,2,PASS,7.99,sector_median_imputed,2026-05-14
BAKA,Financials,66.7,65.62,54.48645933036357,60.83,OK,0.2,0.35,0.45,59.73,,2,2,PASS,0.72,bloomberg_calc,2026-05-14
INN1,Financials,66.93,50.02,90.52283525728924,71.63,OK,0.2,0.35,0.45,53.66,,2,2,PASS,0.5349999999999999,sector_median_imputed,2026-05-14
AXA,Financials,83.33,59.02,84.3552566083072,75.28,OK,0.2,0.35,0.45,52.23,,2,2,PASS,0.5349999999999999,sector_median_imputed,2026-05-14
