ticker,yf_ticker,company_name,sasb_sector,truvalue_rating,sa_risk,sa_band,iss_descriptor,tri_pass_votes,tri_fail_votes,triangulation_result,stage1_pass,fossil_flag,hard_excluded,watchlist,watchlist_reason,esg_rank,in_house_z,in_house_pct,E_score,S_score,G_score,ESG_score,carbon_intensity,ci_source,data_vintage
EAM,A2A.MI,A2A S.p.A.,Infrastructure,Average,28.5,Medium,Good,2,1,PASS,True,False,False,False,,164.0,-0.4743415898723553,27.84810126582278,48.01,4.35,30.79,27.85,629.82,bloomberg_calc,2026-05-20
2X1,ABVX.PA,Abivax SA,Health Care,Average,35.37,High,Medium,2,1,PASS,True,False,True,,,,,,0.0,0.0,0.0,0.0,7.99,sector_median_imputed,2026-05-20
ASME,ASML.AS,ASML Holding NV,Technology & Communications,Below Average,8.7,Negligible,Good,2,1,PASS,True,False,False,True,Truvalue=Below Average,89.0,0.0921886994100468,62.86919831223629,65.11,34.43,56.63,62.87,16.72,sector_median_imputed,2026-05-20
A5G,A5G.IR,AIB Group plc,Financials,Below Average,13.17,Low,Medium,2,1,PASS,True,False,False,True,Truvalue=Below Average,6.0,0.5257474586788465,97.8902953586498,78.15,62.62,73.53,97.89,0.72,sector_median_imputed,2026-05-20
AIXA,AIXA.DE,AIXTRON SE,Technology & Communications,Below Average,17.7,Low,Medium,2,1,PASS,True,False,False,True,Truvalue=Below Average,97.0,0.0276277208806612,59.49367088607595,60.23,49.9,48.25,59.49,16.72,sector_median_imputed,2026-05-20
9AA,AAF.L,Airtel Africa Plc,Technology & Communications,Average,21.35,Medium,Medium,2,1,PASS,True,False,False,False,,189.0,-0.7067784642475479,16.87763713080169,24.39,36.62,25.09,16.88,16.72,sector_median_imputed,2026-05-20
SGM,STMMI.MI,STMicroelectronics NV,Technology & Communications,Average,15.2,Low,Good,3,0,PASS,True,False,False,False,,118.0,-0.1303963863692323,49.78902953586498,38.81,61.29,60.22,49.79,16.72,sector_median_imputed,2026-05-20
7CD,CDR.WA,CD Projekt S.A.,Technology & Communications,Below Average,14.8,Low,Medium,2,1,PASS,True,False,False,True,Truvalue=Below Average,173.0,-0.5317900588251958,23.62869198312236,28.81,52.07,31.13,23.63,16.72,sector_median_imputed,2026-05-20
FG1,ANTO.L,Antofagasta plc,Extractives & Minerals Processing,Below Average,24.25,Medium,Medium,1,2,FAIL,False,False,False,,,,,,0.0,0.0,0.0,0.0,2149.74,sector_median_imputed,2026-05-20
ARRD,MT.AS,ArcelorMittal SA,Extractives & Minerals Processing,Average,28.54,Medium,Medium,2,1,PASS,True,False,False,False,,165.0,-0.4820910849952883,27.42616033755274,26.44,80.72,25.63,27.43,2149.74,sector_median_imputed,2026-05-20
1AE,ARGX.BR,argenx SE,Health Care,Average,24.86,Medium,Medium,2,1,PASS,True,False,False,False,,191.0,-0.738888051380649,16.0337552742616,6.47,36.62,53.67,16.03,7.99,sector_median_imputed,2026-05-20
DP9,DPLM.L,Diploma PLC,Consumer Goods,Average,15.1,Low,Medium,3,0,PASS,True,False,False,False,,154.0,-0.3505659168042818,32.48945147679325,27.98,36.24,65.48,32.49,19.57,sector_median_imputed,2026-05-20
SFB1,ACP.WA,Asseco Poland S.A.,Technology & Communications,Below Average,21.29,Medium,,0,2,FAIL,False,False,False,,,,,,0.0,0.0,0.0,0.0,16.72,sector_median_imputed,2026-05-20
ASG,G.MI,Assicurazioni Generali S.p.A.,Financials,Average,14.21,Low,Good,3,0,PASS,True,False,False,False,,87.0,0.1116021379678658,63.71308016877637,78.15,57.53,22.11,63.71,0.72,sector_median_imputed,2026-05-20
ZEG,AZN.L,AstraZeneca PLC,Health Care,Average,18.04,Low,Good,3,0,PASS,True,False,False,False,,58.0,0.2516423327921353,75.9493670886076,56.5,78.58,68.08,75.95,7.99,sector_median_imputed,2026-05-20
AEU,PRY.MI,Prysmian,Resource Transformation,Leader,13.8,Low,Good,3,0,PASS,True,False,False,False,,171.0,-0.5218808737074067,24.47257383966245,36.04,40.44,25.85,24.47,19.57,sector_median_imputed,2026-05-20
2FE,RACE.MI,Ferrari,Transportation,Above Average,17.5,Low,Good,3,0,PASS,True,False,False,False,,152.0,-0.3440225744438782,33.33333333333333,28.35,80.24,40.51,33.33,0.0,bloomberg_calc,2026-05-20
NGLB,AAL.L,Anglo American,Extractives & Minerals Processing,Above Average,28.4,High,Good,2,1,PASS,False,True,False,,,,,,0.0,0.0,0.0,0.0,2149.74,sector_median_imputed,2026-05-20
1JJA,AZA.ST,Avanza Bank Holding AB,Financials,Below Average,23.27,Medium,Medium,1,2,FAIL,False,False,False,,,,,,0.0,0.0,0.0,0.0,0.72,sector_median_imputed,2026-05-20
HGUA,HUBN.SW,Huber+Suhner,Resource Transformation,Above Average,15.6,Low,Good,3,0,PASS,True,False,False,False,,186.0,-0.6846236173742013,18.35443037974684,6.47,33.46,62.6,18.35,19.57,sector_median_imputed,2026-05-20
GU81,AV.L,Aviva plc,Financials,Average,13.69,Low,Medium,3,0,PASS,True,False,False,False,,15.0,0.4527930622231097,94.09282700421942,78.15,57.53,66.87,94.09,0.72,sector_median_imputed,2026-05-20
NKT,NKT.CO,NKT,Resource Transformation,Above Average,14.5,Low,Good,3,0,PASS,True,False,False,False,,158.0,-0.3757280389550171,30.80168776371308,40.54,67.5,21.31,30.8,19.57,sector_median_imputed,2026-05-20
DJDA,DIE.BR,D'Ieteren,Services,Above Average,13.2,Low,Good,3,0,PASS,True,False,False,False,,181.0,-0.6456354306427077,20.25316455696203,31.81,57.62,7.53,20.25,0.0,sector_median_imputed,2026-05-20
