ticker,idBbGlobalCompanyName,bics_sector,exchCode,taxonomy_eligible_pct,taxonomy_aligned_pct,euTaxnmyEstmatdDnshMitgtnLevl1,euTaxnmyEstmatdDnshMitgtnLevl2,euTaxnmyEstmatdDnshAdapttnLevl1,euTaxnmyEstmatdDnshAdapttnLevl2
SEBA,Skandinaviska Enskilda Banken AB,Financials,GR,,,66.67,,71.43,
ALV,Allianz SE,Financials,GR,,,77.78,,85.71,
E7V,Rexel SA,Industrials,GR,,0.0,66.67,,28.57,
IES,Intesa Sanpaolo SpA,Financials,GR,,,55.56,,42.86,
RWE,RWE AG,Utilities,GR,13.09,,66.67,,57.14,40.0
NDA,Aurubis AG,Materials,GR,,,11.11,,14.29,
CBK,Commerzbank AG,Financials,GR,,,88.89,,71.43,
GBF,Bilfinger SE,Industrials,GR,0.0,,44.44,,14.29,
HEI,HeidelbergCement AG,Materials,GR,0.0,,77.78,0.0,85.71,80.0
HOT,HOCHTIEF AG,Industrials,GR,0.0,,66.67,0.0,42.86,40.0
SIE,Siemens AG,Industrials,GR,,,77.78,,57.14,40.0
MUV2,Muenchener Rueckversicherungs-Gesellschaft AG in Muenchen,Financials,GR,,,77.78,,71.43,
CRIN,UniCredit SpA,Financials,GR,,,77.78,,100.0,
OMV,OMV AG,Energy,GR,,,66.67,,100.0,
IBE1,Iberdrola SA,Utilities,GR,59.85,,66.67,50.0,42.86,40.0
REP,Repsol SA,Energy,GR,0.0,,77.78,,57.14,
AIXA,AIXTRON SE,Technology,GR,0.0,57.0,66.67,,14.29,
BAKA,Bankinter SA,Financials,GR,,,77.78,,57.14,
INN1,ING Groep NV,Financials,GR,,,66.67,,85.71,
AXA,AXA SA,Financials,GR,,,66.67,,100.0,
VOL3,Volvo AB,Industrials,GR,0.0,,44.44,,71.43,80.0
VHM,Sacyr SA,Industrials,GR,0.0,,66.67,50.0,28.57,20.0
TCO0,Tesco PLC,Consumer Staples,GR,0.0,,77.78,,85.71,100.0
BNP,BNP Paribas SA,Financials,GR,,,77.78,,85.71,
ASG,Assicurazioni Generali SpA,Financials,GR,,,55.56,,100.0,
SOAN,UnipolSai Assicurazioni SpA,Financials,GR,0.0,,66.67,25.0,71.43,80.0
SND,Schneider Electric SE,Industrials,GR,59.85,,77.78,,71.43,60.0
NOA3,Nokia Oyj,Technology,GR,0.0,,66.67,,57.14,60.0
