ticker,sector,vol_annual,max_drawdown,sharpe_ratio,beta,beta_band_score,m01_score,m02_score,m03_score,m04_score,composite_financial_score,metric_nan_count,m01_vol_flag,m02_mdd_flag,m03_sharpe_flag,m04_beta_flag,g1_data_sufficiency,g2_margins,g3_cashflow,g4_leverage,g5_investability,gate_verdict,financial_verdict,exclusion_reason,annual_volatility_pct,max_drawdown_pct,beta_vs_benchmark,data_vintage,rf_rate_assumption,benchmark_used
MAERSK-B.CO,Industrials,0.4049,-0.4438,0.2036,0.9787,100.0,8.29875518672199,64.73029045643153,20.33195020746888,100.0,47.18,0.0,soft_flag,ok,ok,target_band,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,40.49,-44.38,0.9787,2026-05-20,0.025,^STOXX
SEB-A.ST,Financials,,,,,,,,,,,,,,,,PASS,PASS,FAIL,DATA-INCOMPLETE,PASS,GATE_FAIL,EXCLUDED_GATE,G3:negative_cashflow,,,,2026-05-20,0.025,^STOXX
ALV.DE,Financials,0.1968,-0.2752,0.6982,0.942,100.0,92.5311203319502,18.257261410788388,80.08298755186722,100.0,68.01,0.0,ok,ok,ok,target_band,PASS,PASS,DATA-INCOMPLETE,DATA-INCOMPLETE,PASS,REVIEW_REQUIRED,REVIEW_REQUIRED,,19.68,-27.52,0.942,2026-05-20,0.025,^STOXX
RXL.PA,Industrials,0.3295,-0.3281,0.4745,1.5495,0.0,34.64730290456431,30.705394190871374,53.52697095435685,0.0,32.2,0.0,ok,ok,ok,aggressive,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,32.95,-32.81,1.5495,2026-05-20,0.025,^STOXX
ISP.MI,Financials,0.2743,-0.427,0.8497,1.346,25.0,60.58091286307054,61.410788381742734,92.11618257261411,25.0,63.17,0.0,ok,ok,ok,elevated_high,PASS,PASS,DATA-INCOMPLETE,DATA-INCOMPLETE,PASS,REVIEW_REQUIRED,REVIEW_REQUIRED,,27.43,-42.7,1.346,2026-05-20,0.025,^STOXX
RWE.DE,Utilities,,,,,,,,,,,,,,,,PASS,FAIL,PASS,PASS,PASS,GATE_FAIL,EXCLUDED_GATE,G2:negative_margins,,,,2026-05-20,0.025,^STOXX
NDA.DE,Materials,0.3736,-0.5443,0.475,1.2748,50.0,15.767634854771785,82.15767634854771,54.149377593360995,50.0,54.05,0.0,soft_flag,soft_flag,ok,elevated,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,37.36,-54.43,1.2748,2026-05-20,0.025,^STOXX
CBK.DE,Financials,0.4,-0.3873,0.832,1.3934,25.0,9.543568464730285,47.717842323651446,91.70124481327801,25.0,48.73,0.0,soft_flag,ok,ok,elevated_high,PASS,PASS,DATA-INCOMPLETE,DATA-INCOMPLETE,PASS,REVIEW_REQUIRED,REVIEW_REQUIRED,,40.0,-38.73,1.3934,2026-05-20,0.025,^STOXX
DBK.DE,Financials,0.3564,-0.4636,0.4585,1.5451,0.0,21.99170124481327,69.29460580912863,52.282157676348554,0.0,40.87,0.0,soft_flag,soft_flag,ok,aggressive,PASS,PASS,DATA-INCOMPLETE,DATA-INCOMPLETE,PASS,REVIEW_REQUIRED,REVIEW_REQUIRED,,35.64,-46.36,1.5451,2026-05-20,0.025,^STOXX
GBF.DE,Industrials,0.3418,-0.3288,0.7467,1.1509,50.0,29.460580912863065,31.120331950207472,85.89211618257261,50.0,51.0,0.0,ok,ok,ok,elevated,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,34.18,-32.88,1.1509,2026-05-20,0.025,^STOXX
HEI.DE,Materials,0.3051,-0.4585,0.5558,1.2917,50.0,43.56846473029046,67.63485477178423,65.56016597510373,50.0,58.67,0.0,ok,soft_flag,ok,elevated,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,30.51,-45.85,1.2917,2026-05-20,0.025,^STOXX
HOT.DE,Industrials,,,,,,,,,,,,,,,,PASS,PASS,PASS,FAIL,PASS,GATE_FAIL,EXCLUDED_GATE,G4:excess_leverage,,,,2026-05-20,0.025,^STOXX
SDF.DE,Materials,0.3846,-0.6808,0.218,0.5565,75.0,12.033195020746888,96.6804979253112,21.16182572614108,75.0,52.76,0.0,soft_flag,soft_flag,ok,defensive,PASS,SOFT_FLAG,PASS,PASS,PASS,GATE_PASS,PASSED,,38.46,-68.08,0.5565,2026-05-20,0.025,^STOXX
SIE.DE,Industrials,0.2997,-0.3897,0.4394,1.5125,0.0,46.88796680497925,48.54771784232366,49.37759336099585,0.0,38.76,0.0,ok,ok,ok,aggressive,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,29.97,-38.97,1.5125,2026-05-20,0.025,^STOXX
MUV2.DE,Financials,0.2269,-0.2536,0.6832,0.8473,100.0,81.74273858921163,12.448132780082986,78.42323651452283,100.0,63.61,0.0,ok,ok,ok,target_band,PASS,PASS,DATA-INCOMPLETE,PASS,PASS,REVIEW_REQUIRED,REVIEW_REQUIRED,,22.69,-25.36,0.8473,2026-05-20,0.025,^STOXX
