ticker,annual_return_pct,annual_volatility_pct,sharpe_ratio,max_drawdown_pct,data_vintage,roe_pct,debt_to_equity,revenue_growth_pct,beta
A2A.MI,13.95,24.73,0.443,-48.31,2026-05-12,12.43,1.119,3.5,
ABBN.SW,20.39,23.58,0.738,-40.5,2026-05-12,33.55,0.597,18.3,
ACA.PA,15.6,28.55,0.441,-55.91,2026-05-12,,,-5.8,
ACKB.BR,12.19,19.55,0.47,-33.2,2026-05-12,11.02,0.305,-7.3,
ACP.WA,20.07,29.44,0.58,-34.47,2026-05-12,10.31,0.257,12.6,
ACS.MC,24.96,30.27,0.725,-70.5,2026-05-12,23.49,2.985,9.8,
ADDT-B.ST,30.83,33.94,0.82,-41.72,2026-05-12,29.33,0.783,1.4,
AKRBP.OL,29.08,37.81,0.69,-70.91,2026-05-12,4.75,0.846,-4.7,
ALFA.ST,19.23,27.02,0.601,-41.84,2026-05-12,18.3,0.402,-3.3,
ALK-B.CO,21.34,34.8,0.527,-58.84,2026-05-12,20.91,0.062,16.4,
ALV.DE,16.43,22.28,0.603,-48.71,2026-05-12,17.53,0.532,-5.6,
ANA.MC,20.1,28.63,0.597,-50.83,2026-05-12,17.83,2.148,-1.7,
ANTO.L,27.97,38.22,0.653,-57.14,2026-05-12,15.13,0.531,31.8,
ASML.AS,32.35,33.66,0.872,-47.93,2026-05-12,52.24,0.13,13.2,
AZM.MI,16.55,30.87,0.439,-57.92,2026-05-12,26.43,0.031,12.7,
AZN.L,14.52,24.08,0.478,-27.17,2026-05-12,23.48,0.718,12.5,
BAER.SW,12.53,29.04,0.328,-59.2,2026-05-12,10.87,,1.8,
BARC.L,14.47,33.87,0.339,-72.2,2026-05-12,9.55,,3.9,
BBVA.MC,21.9,33.38,0.566,-70.67,2026-05-12,19.04,,11.9,
BBY.L,15.96,26.96,0.481,-39.04,2026-05-12,23.14,0.888,14.2,
BC.MI,21.35,32.86,0.559,-46.14,2026-05-12,26.52,2.107,10.0,
BCVN.SW,10.72,17.37,0.444,-30.86,2026-05-12,10.88,,-0.7,
BEAN.SW,22.7,29.27,0.673,-44.04,2026-05-12,30.21,0.075,18.9,
BEZ.L,18.09,32.57,0.463,-53.27,2026-05-12,19.27,0.131,1.1,
BFT.WA,29.47,38.35,0.69,-62.05,2026-05-12,32.52,1.372,41.2,
BGEO.L,24.13,39.69,0.532,-80.98,2026-05-12,27.44,,14.2,
BGN.MI,16.41,28.46,0.471,-49.37,2026-05-12,28.24,,11.6,
BKT.MC,20.16,30.22,0.568,-63.54,2026-05-12,17.69,,6.1,
BKW.SW,17.74,22.19,0.664,-25.35,2026-05-12,6.7,0.32,-10.6,
BMED.MI,20.07,28.2,0.606,-56.17,2026-05-12,27.82,,6.0,
BNP.PA,16.84,30.97,0.447,-59.43,2026-05-12,9.57,,9.3,
BZU.MI,16.6,31.15,0.436,-44.77,2026-05-12,13.44,0.062,2.9,
CABK.MC,23.76,32.79,0.633,-61.51,2026-05-12,16.02,,2.7,
CCH.L,13.81,26.11,0.414,-52.42,2026-05-12,25.96,0.993,7.3,
CFR.SW,15.35,30.32,0.407,-47.58,2026-05-12,18.13,0.666,5.4,
CS.PA,14.47,24.76,0.463,-51.0,2026-05-12,13.41,1.135,3.2,
DB1.DE,16.32,21.57,0.618,-36.97,2026-05-12,19.2,0.654,8.5,
DIE.BR,26.55,32.28,0.729,-42.79,2026-05-12,,79.109,3.4,
DNB.OL,18.21,23.89,0.637,-44.26,2026-05-12,14.32,,-1.7,
DPLM.L,25.29,29.09,0.766,-39.27,2026-05-12,19.64,0.468,9.8,
DRX.L,15.94,34.24,0.378,-70.55,2026-05-12,3.59,0.629,-8.7,
EBS.VI,21.99,32.4,0.586,-60.97,2026-05-12,12.52,,28.9,
ELE.MC,15.81,21.02,0.609,-40.66,2026-05-12,24.46,1.2,-1.3,
ELI.BR,15.85,25.5,0.504,-60.15,2026-05-12,9.03,1.987,14.6,
EMG.L,10.0,29.44,0.238,-55.65,2026-05-12,10.95,0.183,14.3,
ENGI.PA,15.76,23.14,0.551,-47.74,2026-05-12,11.54,1.352,-6.6,
ENX.PA,19.11,23.87,0.675,-40.09,2026-05-12,15.11,0.718,9.7,
EOAN.DE,15.06,22.6,0.533,-50.21,2026-05-12,9.12,1.49,-10.4,
EQNR.OL,19.04,30.0,0.535,-54.23,2026-05-12,12.36,0.73,-5.3,
FBK.MI,18.76,31.29,0.504,-42.83,2026-05-12,24.6,,4.2,
G.MI,18.27,22.29,0.685,-46.74,2026-05-12,13.69,1.137,,
GAW.L,42.06,34.79,1.123,-53.42,2026-05-12,67.89,0.156,10.9,
GBF.DE,19.78,36.5,0.46,-74.91,2026-05-12,13.81,0.278,4.5,
GLEN.L,18.85,35.62,0.445,-78.2,2026-05-12,0.35,1.253,14.3,
GTT.PA,28.35,31.13,0.814,-62.4,2026-05-12,78.68,0.214,19.6,
HBAN.SW,12.79,21.96,0.446,-53.64,2026-05-12,6.31,1.097,17.9,
HEI.DE,15.23,29.47,0.415,-66.62,2026-05-12,11.07,0.435,-0.9,
HLMA.L,18.36,24.21,0.634,-43.69,2026-05-12,18.61,0.434,15.2,
HNR1.DE,14.5,23.18,0.496,-44.13,2026-05-12,21.71,0.279,-22.9,
