ticker,financial_verdict,composite_financial_score,vol_annual,sharpe_ratio,beta,data_vintage
MAERSK-B.CO,PASSED,47.18,0.4049,0.2036,0.9787,2026-05-20
ALV.DE,REVIEW_REQUIRED,68.01,0.1968,0.6982,0.942,2026-05-20
RXL.PA,PASSED,32.2,0.3295,0.4745,1.5495,2026-05-20
ISP.MI,REVIEW_REQUIRED,63.17,0.2743,0.8497,1.346,2026-05-20
NDA.DE,PASSED,54.05,0.3736,0.475,1.2748,2026-05-20
CBK.DE,REVIEW_REQUIRED,48.73,0.4,0.832,1.3934,2026-05-20
DBK.DE,REVIEW_REQUIRED,40.87,0.3564,0.4585,1.5451,2026-05-20
GBF.DE,PASSED,51.0,0.3418,0.7467,1.1509,2026-05-20
HEI.DE,PASSED,58.67,0.3051,0.5558,1.2917,2026-05-20
SDF.DE,PASSED,52.76,0.3846,0.218,0.5565,2026-05-20
SIE.DE,PASSED,38.76,0.2997,0.4394,1.5125,2026-05-20
MUV2.DE,REVIEW_REQUIRED,63.61,0.2269,0.6832,0.8473,2026-05-20
UCG.MI,REVIEW_REQUIRED,55.1,0.3581,1.1467,1.5164,2026-05-20
OMV.VI,PASSED,57.68,0.2848,0.4449,0.8517,2026-05-20
IBE.MC,REVIEW_REQUIRED,58.92,0.1864,0.6481,0.5681,2026-05-20
REP.MC,PASSED,62.76,0.2729,0.6768,0.5292,2026-05-20
SSE.L,PASSED,42.59,0.2375,0.2433,0.5447,2026-05-20
BKT.MC,REVIEW_REQUIRED,65.98,0.2878,0.854,0.9554,2026-05-20
INGA.AS,REVIEW_REQUIRED,62.45,0.2794,0.7731,1.2853,2026-05-20
CS.PA,PASSED,63.9,0.213,0.697,0.9932,2026-05-20
RIO.L,PASSED,48.59,0.2706,0.0802,0.8427,2026-05-20
VOLV-B.ST,PASSED,46.39,0.2516,0.4874,1.1813,2026-05-20
KPN.AS,PASSED,62.47,0.1509,0.7887,0.1834,2026-05-20
TSCO.L,PASSED,64.09,0.2027,0.5714,0.3741,2026-05-20
LSEG.L,PASSED,51.68,0.2375,0.082,0.4977,2026-05-20
GLE.PA,REVIEW_REQUIRED,46.93,0.3452,0.6027,1.494,2026-05-20
BNP.PA,REVIEW_REQUIRED,42.57,0.2853,0.475,1.3311,2026-05-20
AGN.AS,PASSED,46.97,0.2817,0.5299,1.2056,2026-05-20
G.MI,PASSED,75.39,0.1934,1.0066,0.8575,2026-05-20
ORA.PA,PASSED,64.21,0.1614,0.9683,0.1405,2026-05-20
SU.PA,PASSED,37.47,0.2903,0.4543,1.4551,2026-05-20
AI.PA,PASSED,54.81,0.1881,0.4118,0.8472,2026-05-20
AD.AS,PASSED,53.13,0.1899,0.5277,0.354,2026-05-20
BCP.LS,REVIEW_REQUIRED,56.22,0.3644,0.929,1.2517,2026-05-20
NOKIA.HE,PASSED,71.12,0.3282,0.6451,1.0525,2026-05-20
BESI.AS,PASSED,46.93,0.4736,0.6095,1.658,2026-05-20
TIT.MI,PASSED,56.35,0.4047,0.1942,1.0668,2026-05-20
UU.L,PASSED,43.51,0.2244,0.1591,0.4346,2026-05-20
ASML.AS,PASSED,38.42,0.3835,0.4204,1.7248,2026-05-20
SCMN.SW,PASSED,54.71,0.1468,0.5026,0.1867,2026-05-20
DTE.DE,PASSED,56.58,0.2001,0.5739,0.5944,2026-05-20
BEAN.SW,PASSED,44.79,0.3311,0.416,1.3179,2026-05-20
TTE.PA,PASSED,64.4,0.2437,0.7291,0.6892,2026-05-20
NHY.OL,PASSED,56.8,0.3537,0.5303,0.9799,2026-05-20
ELE.MC,PASSED,61.06,0.2135,0.6009,0.5761,2026-05-20
IAG.L,REVIEW_REQUIRED,35.56,0.3911,0.2931,1.4288,2026-05-20
SUN.SW,PASSED,43.51,0.3464,0.2365,1.3132,2026-05-20
NXT.L,PASSED,62.03,0.2634,0.2519,0.9354,2026-05-20
INVE-B.ST,PASSED,57.01,0.207,0.6212,1.1341,2026-05-20
STMMI.MI,PASSED,38.63,0.3942,0.2718,1.541,2026-05-20
TEL2-B.ST,PASSED,65.91,0.2672,0.6079,0.432,2026-05-20
MKS.L,PASSED,67.84,0.3337,0.4029,0.9177,2026-05-20
NWG.L,REVIEW_REQUIRED,57.39,0.2998,0.5549,1.234,2026-05-20
SQN.SW,PASSED,48.51,0.3635,0.5799,1.53,2026-05-20
STAN.L,REVIEW_REQUIRED,49.96,0.3253,0.7411,1.2328,2026-05-20
UCB.BR,PASSED,72.53,0.2876,0.7085,0.6455,2026-05-20
ASM.AS,PASSED,44.15,0.4346,0.5352,1.6521,2026-05-20
SRP.L,PASSED,59.96,0.2277,0.5083,0.6786,2026-05-20
SAND.ST,PASSED,45.29,0.2752,0.4083,1.3601,2026-05-20
MAP.MC,REVIEW_REQUIRED,66.35,0.2111,0.9133,0.785,2026-05-20
EN.PA,PASSED,60.29,0.1982,0.5548,0.7144,2026-05-20
IMI.L,PASSED,49.67,0.2571,0.2961,1.2753,2026-05-20
NEM.DE,PASSED,44.56,0.3823,0.0124,1.2151,2026-05-20
ABBN.SW,PASSED,57.26,0.2481,0.8279,1.2496,2026-05-20
HSBA.L,REVIEW_REQUIRED,63.03,0.2501,0.7799,0.9666,2026-05-20
DB1.DE,REVIEW_REQUIRED,60.85,0.198,0.5878,0.4853,2026-05-20
SUBC.OL,PASSED,65.56,0.3375,0.8615,0.6987,2026-05-20
FGR.PA,PASSED,47.68,0.2248,0.3438,0.9698,2026-05-20
MYCR.ST,PASSED,53.53,0.3664,0.4349,1.1864,2026-05-20
NDX1.DE,PASSED,57.93,0.4678,0.3464,1.0821,2026-05-20
AAL.L,PASSED,33.01,0.4016,0.0345,1.4011,2026-05-20
BZU.MI,PASSED,44.98,0.3044,0.3806,1.2196,2026-05-20
ENEL.MI,PASSED,68.09,0.2111,0.3337,0.893,2026-05-20
BBY.L,PASSED,68.82,0.2331,0.7027,0.8287,2026-05-20
ALFA.ST,PASSED,51.62,0.2631,0.4315,1.1025,2026-05-20
PUB.PA,PASSED,55.85,0.2584,0.3769,1.0547,2026-05-20
UNI.MI,REVIEW_REQUIRED,58.09,0.2689,1.2739,1.1022,2026-05-20
ANA.MC,PASSED,67.51,0.29,0.4255,0.9265,2026-05-20
MTO.L,PASSED,63.24,0.3089,0.5444,0.9165,2026-05-20
SBMO.AS,PASSED,61.33,0.2615,0.7815,0.689,2026-05-20
SMIN.L,PASSED,47.59,0.2249,0.3171,0.942,2026-05-20
EQNR.OL,PASSED,50.89,0.3235,0.57,0.0618,2026-05-20
ATCO-A.ST,PASSED,38.82,0.2906,0.1836,1.343,2026-05-20
IFX.DE,PASSED,35.56,0.3835,0.3355,1.6921,2026-05-20
III.L,PASSED,49.83,0.3122,0.2805,1.2367,2026-05-20
CFR.SW,PASSED,26.39,0.3409,0.2877,1.5642,2026-05-20
TREL-B.ST,PASSED,39.05,0.3193,0.3716,1.1965,2026-05-20
A2A.MI,PASSED,67.59,0.2442,0.3568,0.8646,2026-05-20
EOAN.DE,PASSED,66.76,0.215,0.6133,0.5788,2026-05-20
VIE.PA,PASSED,50.37,0.2414,0.3366,1.1136,2026-05-20
WRT1V.HE,PASSED,57.61,0.3408,0.6946,1.3432,2026-05-20
HNR1.DE,PASSED,57.43,0.227,0.5227,0.773,2026-05-20
AZN.L,PASSED,50.71,0.2384,0.3455,0.6464,2026-05-20
BARC.L,REVIEW_REQUIRED,41.29,0.3117,0.4828,1.4388,2026-05-20
HBAN.SW,PASSED,70.29,0.1979,0.828,0.8006,2026-05-20
LLOY.L,REVIEW_REQUIRED,42.7,0.2724,0.4212,1.1863,2026-05-20
SLHN.SW,PASSED,70.33,0.1956,0.7441,0.9045,2026-05-20
ZURN.SW,PASSED,62.37,0.1707,0.6632,0.7222,2026-05-20
FRO.OL,PASSED,64.34,0.458,0.675,0.4289,2026-05-20
KCR.HE,PASSED,42.57,0.3604,0.4725,1.4335,2026-05-20
NKT.CO,PASSED,49.59,0.3592,0.7123,1.1382,2026-05-20
FHZN.SW,PASSED,48.17,0.2068,0.3031,0.7326,2026-05-20
HUBN.SW,REVIEW_REQUIRED,68.88,0.2779,0.9347,0.9029,2026-05-20
RMS.PA,PASSED,45.68,0.2865,0.2138,1.2862,2026-05-20
TLX.DE,REVIEW_REQUIRED,65.98,0.2356,0.9981,0.8927,2026-05-20
G1A.DE,PASSED,58.3,0.224,0.3925,0.9054,2026-05-20
ENI.MI,PASSED,67.88,0.236,0.911,0.6965,2026-05-20
FNTN.DE,PASSED,51.04,0.249,0.3648,0.6164,2026-05-20
FER.MC,PASSED,64.48,0.2113,0.7925,0.9261,2026-05-20
SAB.MC,REVIEW_REQUIRED,55.37,0.3641,0.9602,1.1938,2026-05-20
