column,company,value,mean,z_score,action
idBbCompany,Row 230,58076078.0,7292782.28,3.3,REVIEW — possible unit mismatch or data error
idBbCompany,Row 253,55130373.0,7292782.28,3.1,REVIEW — possible unit mismatch or data error
idBbCompany,Row 257,60238741.0,7292782.28,3.4,REVIEW — possible unit mismatch or data error
idBbCompany,Row 261,61564243.0,7292782.28,3.5,REVIEW — possible unit mismatch or data error
idBbCompany,Row 265,63087888.0,7292782.28,3.6,REVIEW — possible unit mismatch or data error
idBbCompany,Row 266,62068199.0,7292782.28,3.5,REVIEW — possible unit mismatch or data error
idBbCompany,Row 267,59600722.0,7292782.28,3.3,REVIEW — possible unit mismatch or data error
idBbCompany,Row 268,68938862.0,7292782.28,3.9,REVIEW — possible unit mismatch or data error
idBbCompany,Row 271,67149013.0,7292782.28,3.8,REVIEW — possible unit mismatch or data error
idBbCompany,Row 272,67612197.0,7292782.28,3.9,REVIEW — possible unit mismatch or data error
esgDisclosureScore,Row 273,18.73,53.75,-3.2,REVIEW — possible unit mismatch or data error
directCo2Emissions,Row 10,69490.0,7138.93,4.2,REVIEW — possible unit mismatch or data error
directCo2Emissions,Row 276,58000.0,7138.93,3.4,REVIEW — possible unit mismatch or data error
indirectCo2Emissions,Row 10,5060.0,399.25,4.3,REVIEW — possible unit mismatch or data error
totalCo2Emissions,Row 145,115000.0,9350.87,4.2,REVIEW — possible unit mismatch or data error
totalGhgEmissions,Row 5,89600.0,4313.48,5.3,REVIEW — possible unit mismatch or data error
totalGhgEmissions,Row 94,55880.0,4313.48,3.2,REVIEW — possible unit mismatch or data error
totalGhgEmissions,Row 145,126444.0,4313.48,7.5,REVIEW — possible unit mismatch or data error
totalGhgEmissions,Row 172,138600.0,4313.48,8.3,REVIEW — possible unit mismatch or data error
totalGhgEmissions,Row 276,69000.0,4313.48,4.0,REVIEW — possible unit mismatch or data error
scp3BusinessTravelEmissions,Row 95,12524.0,94.04,12.2,REVIEW — possible unit mismatch or data error
scopeOfDisclosure,Row 56,3.0,1.18,4.1,REVIEW — possible unit mismatch or data error
scopeOfDisclosure,Row 142,3.0,1.18,4.1,REVIEW — possible unit mismatch or data error
scope1_emissions_tco2e,Row 5,86900.0,3989.2,5.4,REVIEW — possible unit mismatch or data error
scope1_emissions_tco2e,Row 10,69500.0,3989.2,4.2,REVIEW — possible unit mismatch or data error
scope1_emissions_tco2e,Row 94,51570.0,3989.2,3.1,REVIEW — possible unit mismatch or data error
scope1_emissions_tco2e,Row 145,119428.0,3989.2,7.5,REVIEW — possible unit mismatch or data error
