company_name,ticker,company_folder,company_reports_available,company_report_files,source_gap,source_type_needed,priority,search_query_used,source_found,source_title,source_url,date_accessed,downloaded_file_name,local_file_path,source_relevance,used_in_8_test,notes
VAT Group AG,19V,data/rag/reports/19V_VAT_Group_AG,YES,tier1_annual_report_2025.pdf,,,,MANUAL DOWNLOAD,YES,Annual Report 2025,TO BE COLLECTED,TO BE COLLECTED,tier1_annual_report_2025.pdf,data/rag/reports/19V_VAT_Group_AG/company_reports/tier1_annual_report_2025.pdf,HIGH,TO BE DETERMINED,
VAT Group AG,19V,data/rag/reports/19V_VAT_Group_AG,YES,tier1_code_of_conduct_2025.pdf,,,,MANUAL DOWNLOAD,YES,Code Of Conduct 2025,TO BE COLLECTED,TO BE COLLECTED,tier1_code_of_conduct_2025.pdf,data/rag/reports/19V_VAT_Group_AG/company_reports/tier1_code_of_conduct_2025.pdf,MEDIUM,TO BE DETERMINED,
VAT Group AG,19V,data/rag/reports/19V_VAT_Group_AG,YES,tier1_corporate_environmental_policy_2025.pdf,,,,MANUAL DOWNLOAD,YES,Corporate Environmental Policy 2025,TO BE COLLECTED,TO BE COLLECTED,tier1_corporate_environmental_policy_2025.pdf,data/rag/reports/19V_VAT_Group_AG/company_reports/tier1_corporate_environmental_policy_2025.pdf,MEDIUM,TO BE DETERMINED,
VAT Group AG,19V,data/rag/reports/19V_VAT_Group_AG,YES,tier1_corporate_health_and_safety_policy_2025.pdf,,,,MANUAL DOWNLOAD,YES,Corporate Health And Safety Policy 2025,TO BE COLLECTED,TO BE COLLECTED,tier1_corporate_health_and_safety_policy_2025.pdf,data/rag/reports/19V_VAT_Group_AG/company_reports/tier1_corporate_health_and_safety_policy_2025.pdf,MEDIUM,TO BE DETERMINED,
VAT Group AG,19V,data/rag/reports/19V_VAT_Group_AG,YES,tier1_iso_9001_certificate_iqnet_2025.pdf,,,,MANUAL DOWNLOAD,YES,Iso 9001 Certificate Iqnet 2025,TO BE COLLECTED,TO BE COLLECTED,tier1_iso_9001_certificate_iqnet_2025.pdf,data/rag/reports/19V_VAT_Group_AG/company_reports/tier1_iso_9001_certificate_iqnet_2025.pdf,MEDIUM,TO BE DETERMINED,
VAT Group AG,19V,data/rag/reports/19V_VAT_Group_AG,YES,tier1_iso_9001_iso_14001_iso_45001_certificate_sqs_2025.pdf,,,,MANUAL DOWNLOAD,YES,Iso 9001 Iso 14001 Iso 45001 Certificate Sqs 2025,TO BE COLLECTED,TO BE COLLECTED,tier1_iso_9001_iso_14001_iso_45001_certificate_sqs_2025.pdf,data/rag/reports/19V_VAT_Group_AG/company_reports/tier1_iso_9001_iso_14001_iso_45001_certificate_sqs_2025.pdf,MEDIUM,TO BE DETERMINED,
VAT Group AG,19V,data/rag/reports/19V_VAT_Group_AG,YES,tier1_iso_iec_27001_certificate_iqnet_2025.pdf,,,,MANUAL DOWNLOAD,YES,Iso Iec 27001 Certificate Iqnet 2025,TO BE COLLECTED,TO BE COLLECTED,tier1_iso_iec_27001_certificate_iqnet_2025.pdf,data/rag/reports/19V_VAT_Group_AG/company_reports/tier1_iso_iec_27001_certificate_iqnet_2025.pdf,MEDIUM,TO BE DETERMINED,
VAT Group AG,19V,data/rag/reports/19V_VAT_Group_AG,YES,tier1_iso_iec_27001_certificate_sqs_2025.pdf,,,,MANUAL DOWNLOAD,YES,Iso Iec 27001 Certificate Sqs 2025,TO BE COLLECTED,TO BE COLLECTED,tier1_iso_iec_27001_certificate_sqs_2025.pdf,data/rag/reports/19V_VAT_Group_AG/company_reports/tier1_iso_iec_27001_certificate_sqs_2025.pdf,MEDIUM,TO BE DETERMINED,
VAT Group AG,19V,data/rag/reports/19V_VAT_Group_AG,YES,tier1_jamp_membership_certificate_2023.pdf,,,,MANUAL DOWNLOAD,YES,Jamp Membership Certificate 2023,TO BE COLLECTED,TO BE COLLECTED,tier1_jamp_membership_certificate_2023.pdf,data/rag/reports/19V_VAT_Group_AG/company_reports/tier1_jamp_membership_certificate_2023.pdf,MEDIUM,TO BE DETERMINED,
VAT Group AG,19V,data/rag/reports/19V_VAT_Group_AG,YES,tier1_labor_and_human_rights_policy_2025.pdf,,,,MANUAL DOWNLOAD,YES,Labor And Human Rights Policy 2025,TO BE COLLECTED,TO BE COLLECTED,tier1_labor_and_human_rights_policy_2025.pdf,data/rag/reports/19V_VAT_Group_AG/company_reports/tier1_labor_and_human_rights_policy_2025.pdf,MEDIUM,TO BE DETERMINED,
VAT Group AG,19V,data/rag/reports/19V_VAT_Group_AG,YES,tier1_sustainability_committee_charter_2025.pdf,,,,MANUAL DOWNLOAD,YES,Sustainability Committee Charter 2025,TO BE COLLECTED,TO BE COLLECTED,tier1_sustainability_committee_charter_2025.pdf,data/rag/reports/19V_VAT_Group_AG/company_reports/tier1_sustainability_committee_charter_2025.pdf,HIGH,TO BE DETERMINED,
VAT Group AG,19V,data/rag/reports/19V_VAT_Group_AG,YES,tier1_sustainability_report_2025.pdf,,,,MANUAL DOWNLOAD,YES,Sustainability Report 2025,TO BE COLLECTED,TO BE COLLECTED,tier1_sustainability_report_2025.pdf,data/rag/reports/19V_VAT_Group_AG/company_reports/tier1_sustainability_report_2025.pdf,HIGH,TO BE DETERMINED,
VAT Group AG,19V,data/rag/reports/19V_VAT_Group_AG,YES,,,,,MANUAL DOWNLOAD,YES,Annual Report 2024,TO BE COLLECTED,TO BE COLLECTED,tier2_annual_report_2024.pdf,data/rag/reports/19V_VAT_Group_AG/external_evidence/tier2_annual_report_2024.pdf,HIGH,TO BE DETERMINED,
VAT Group AG,19V,data/rag/reports/19V_VAT_Group_AG,YES,,,,,MANUAL DOWNLOAD,YES,Conflict Minerals Policy 2024,TO BE COLLECTED,TO BE COLLECTED,tier2_conflict_minerals_policy_2024.pdf,data/rag/reports/19V_VAT_Group_AG/external_evidence/tier2_conflict_minerals_policy_2024.pdf,MEDIUM,TO BE DETERMINED,
VAT Group AG,19V,data/rag/reports/19V_VAT_Group_AG,YES,,,,,MANUAL DOWNLOAD,YES,Global Supply Chain Sustainability Policy 2024,TO BE COLLECTED,TO BE COLLECTED,tier2_global_supply_chain_sustainability_policy_2024.pdf,data/rag/reports/19V_VAT_Group_AG/external_evidence/tier2_global_supply_chain_sustainability_policy_2024.pdf,HIGH,TO BE DETERMINED,
VAT Group AG,19V,data/rag/reports/19V_VAT_Group_AG,YES,,,,,MANUAL DOWNLOAD,YES,Iatf 16949 Certificate 2024,TO BE COLLECTED,TO BE COLLECTED,tier2_iatf_16949_certificate_2024.pdf,data/rag/reports/19V_VAT_Group_AG/external_evidence/tier2_iatf_16949_certificate_2024.pdf,MEDIUM,TO BE DETERMINED,
VAT Group AG,19V,data/rag/reports/19V_VAT_Group_AG,YES,,,,,MANUAL DOWNLOAD,YES,Sustainability Report 2024,TO BE COLLECTED,TO BE COLLECTED,tier2_sustainability_report_2024.pdf,data/rag/reports/19V_VAT_Group_AG/external_evidence/tier2_sustainability_report_2024.pdf,HIGH,TO BE DETERMINED,
VAT Group AG,19V,data/rag/reports/19V_VAT_Group_AG,YES,,SBTi target dashboard,external_verification,HIGH,TO BE COLLECTED,NO,TO BE COLLECTED,TO BE COLLECTED,TO BE COLLECTED,TO BE COLLECTED,TO BE COLLECTED,HIGH,TO BE DETERMINED,Gap identified during initial audit 2026-05-16
VAT Group AG,19V,data/rag/reports/19V_VAT_Group_AG,YES,,CDP climate score or response,external_verification,HIGH,TO BE COLLECTED,NO,TO BE COLLECTED,TO BE COLLECTED,TO BE COLLECTED,TO BE COLLECTED,TO BE COLLECTED,HIGH,TO BE DETERMINED,Gap identified during initial audit 2026-05-16
VAT Group AG,19V,data/rag/reports/19V_VAT_Group_AG,YES,,Third-party GHG emissions assurance,external_assurance,HIGH,TO BE COLLECTED,NO,TO BE COLLECTED,TO BE COLLECTED,TO BE COLLECTED,TO BE COLLECTED,TO BE COLLECTED,HIGH,TO BE DETERMINED,Gap identified during initial audit 2026-05-16
VAT Group AG,19V,data/rag/reports/19V_VAT_Group_AG,YES,,TCFD / climate disclosure report,company_report,MEDIUM,TO BE COLLECTED,NO,TO BE COLLECTED,TO BE COLLECTED,TO BE COLLECTED,TO BE COLLECTED,TO BE COLLECTED,HIGH,TO BE DETERMINED,Gap identified during initial audit 2026-05-16
VAT Group AG,19V,data/rag/reports/19V_VAT_Group_AG,YES,,Transition Pathway Initiative assessment,external_verification,MEDIUM,TO BE COLLECTED,NO,TO BE COLLECTED,TO BE COLLECTED,TO BE COLLECTED,TO BE COLLECTED,TO BE COLLECTED,HIGH,TO BE DETERMINED,Gap identified during initial audit 2026-05-16
VAT Group AG,19V,data/rag/reports/19V_VAT_Group_AG,YES,,Climate Action 100+ benchmark,external_verification,MEDIUM,TO BE COLLECTED,NO,TO BE COLLECTED,TO BE COLLECTED,TO BE COLLECTED,TO BE COLLECTED,TO BE COLLECTED,HIGH,TO BE DETERMINED,Gap identified during initial audit 2026-05-16
Argenx SE,1AE,data/rag/reports/1AE_Argenx_SE,YES,tier1_annual_report_2025.pdf,,,,MANUAL DOWNLOAD,YES,Annual Report 2025,TO BE COLLECTED,TO BE COLLECTED,tier1_annual_report_2025.pdf,data/rag/reports/1AE_Argenx_SE/company_reports/tier1_annual_report_2025.pdf,HIGH,TO BE DETERMINED,
Argenx SE,1AE,data/rag/reports/1AE_Argenx_SE,YES,,,,,MANUAL DOWNLOAD,YES,Annual Report 2024,TO BE COLLECTED,TO BE COLLECTED,tier2_annual_report_2024.pdf,data/rag/reports/1AE_Argenx_SE/external_evidence/tier2_annual_report_2024.pdf,HIGH,TO BE DETERMINED,
Argenx SE,1AE,data/rag/reports/1AE_Argenx_SE,YES,,SBTi target dashboard,external_verification,HIGH,TO BE COLLECTED,NO,TO BE COLLECTED,TO BE COLLECTED,TO BE COLLECTED,TO BE COLLECTED,TO BE COLLECTED,HIGH,TO BE DETERMINED,Gap identified during initial audit 2026-05-16
Argenx SE,1AE,data/rag/reports/1AE_Argenx_SE,YES,,CDP climate score or response,external_verification,HIGH,TO BE COLLECTED,NO,TO BE COLLECTED,TO BE COLLECTED,TO BE COLLECTED,TO BE COLLECTED,TO BE COLLECTED,HIGH,TO BE DETERMINED,Gap identified during initial audit 2026-05-16
Argenx SE,1AE,data/rag/reports/1AE_Argenx_SE,YES,,Third-party GHG emissions assurance,external_assurance,HIGH,TO BE COLLECTED,NO,TO BE COLLECTED,TO BE COLLECTED,TO BE COLLECTED,TO BE COLLECTED,TO BE COLLECTED,HIGH,TO BE DETERMINED,Gap identified during initial audit 2026-05-16
Argenx SE,1AE,data/rag/reports/1AE_Argenx_SE,YES,,TCFD / climate disclosure report,company_report,MEDIUM,TO BE COLLECTED,NO,TO BE COLLECTED,TO BE COLLECTED,TO BE COLLECTED,TO BE COLLECTED,TO BE COLLECTED,HIGH,TO BE DETERMINED,Gap identified during initial audit 2026-05-16
